id,球员,赛季,果,比赛,首发,时间,投篮,命中,出手,三分,命中,出手,罚球,命中,出手,篮板,前场,后场,助攻,抢断,盖帽,失误,犯规,得分
1,雷-阿伦,09-10,负,公牛101-93凯尔特,1,36,57.10%,8,14,57.10%,4,7,83.30%,5,6,3,0,3,0,1,0,2,3,25
2,雷-阿伦,09-10,胜,雄鹿90-105凯尔特,1,33,71.40%,5,7,,0,0,100.00%,11,11,2,0,2,1,2,0,1,5,21
3,雷-阿伦,09-10,负,奇才106-96凯尔特,1,34,36.40%,4,11,25.00%,2,8,,0,0,3,0,3,2,0,1,0,0,10
4,雷-阿伦,09-10,胜,猛龙104-115凯尔特,1,35,46.70%,7,15,25.00%,1,4,100.00%,3,3,3,1,2,3,1,0,3,4,18
5,雷-阿伦,09-10,负,尼克斯104-101凯尔特,1,33,66.70%,6,9,50.00%,3,6,100.00%,2,2,0,0,0,1,1,1,3,3,17
6,雷-阿伦,09-10,胜,骑士113-117凯尔特,1,42,58.80%,10,17,66.70%,6,9,100.00%,7,7,3,1,2,4,1,0,2,2,33
7,雷-阿伦,09-10,负,火箭119-114凯尔特,1,16,100.00%,2,2,,0,0,100.00%,1,1,1,0,1,2,0,0,1,6,5
8,雷-阿伦,09-10,负,雷霆109-104凯尔特,1,33,50.00%,6,12,0.00%,0,5,100.00%,1,1,1,0,1,2,0,0,2,3,13
9,雷-阿伦,09-10,负,马刺94-73凯尔特,1,27,22.20%,2,9,0.00%,0,1,100.00%,3,3,2,0,2,1,0,0,1,1,7
10,雷-阿伦,09-10,胜,国王86-94凯尔特,1,38,44.40%,8,18,42.90%,3,7,100.00%,1,1,4,0,4,3,1,1,2,3,20
11,雷-阿伦,09-10,胜,掘金99-113凯尔特,1,35,46.20%,6,13,20.00%,1,5,100.00%,3,3,2,0,2,3,1,1,1,1,16
12,雷-阿伦,09-10,负,爵士110-97凯尔特,1,30,33.30%,4,12,25.00%,2,8,100.00%,5,5,3,0,3,2,2,1,3,2,15
13,雷-阿伦,09-10,胜,小牛93-102凯尔特,1,35,53.80%,7,13,50.00%,4,8,100.00%,3,3,3,1,2,4,2,1,2,3,21
14,雷-阿伦,09-10,胜,火箭87-94凯尔特,1,36,58.30%,7,12,62.50%,5,8,,0,0,1,1,0,6,1,0,2,2,19
15,雷-阿伦,09-10,胜,尼克斯97-109凯尔特,1,24,50.00%,3,6,40.00%,2,5,100.00%,1,1,2,0,2,3,0,1,1,2,9
16,雷-阿伦,09-10,胜,活塞93-119凯尔特,1,27,66.70%,6,9,50.00%,2,4,100.00%,1,1,0,0,0,2,0,0,0,0,15
