id,球员,赛季,果,比赛,首发,时间,投篮,命中,出手,三分,命中,出手,罚球,命中,出手,篮板,前场,后场,助攻,抢断,盖帽,失误,犯规,得分
1,克里斯-波什,12-13,胜,公牛93-105热火,1,31,75.00%,6,8,0.00%,0,1,,0,0,9,0,9,2,1,4,2,4,12
2,克里斯-波什,12-13,胜,凯尔特101-109热火,1,25,60.00%,6,10,,0,0,83.30%,5,6,7,1,6,1,0,0,0,3,17
3,克里斯-波什,12-13,胜,山猫79-89热火,1,37,42.90%,6,14,33.30%,1,3,83.30%,5,6,8,1,7,6,1,1,3,2,18
4,克里斯-波什,12-13,负,尼克斯102-90热火,1,39,46.20%,6,13,33.30%,1,3,100.00%,10,10,6,2,4,4,0,0,2,2,23
5,克里斯-波什,12-13,胜,马刺86-88热火,1,37,60.00%,9,15,60.00%,3,5,100.00%,2,2,9,1,8,3,0,2,2,2,23
6,克里斯-波什,12-13,胜,黄蜂89-108热火,1,22,62.50%,5,8,0.00%,0,1,,0,0,4,0,4,2,0,1,3,4,10
7,克里斯-波什,12-13,负,公牛101-97热火,1,35,47.10%,8,17,50.00%,1,2,80.00%,4,5,4,2,2,1,1,4,2,0,21
8,克里斯-波什,12-13,胜,魔术94-108热火,1,27,28.60%,4,14,,0,0,66.70%,4,6,9,3,6,4,1,1,1,1,12
9,克里斯-波什,12-13,胜,山猫77-109热火,1,31,41.70%,5,12,0.00%,0,1,83.30%,5,6,6,1,5,1,1,3,0,1,15
10,克里斯-波什,12-13,胜,活塞89-103热火,1,31,14.30%,1,7,,0,0,50.00%,3,6,6,0,6,1,1,1,3,2,5
11,克里斯-波什,12-13,胜,骑士95-98热火,1,36,50.00%,5,10,0.00%,0,2,50.00%,1,2,7,3,4,3,1,2,1,3,11
12,克里斯-波什,12-13,胜,凯尔特103-105热火,1,37,60.00%,6,10,0.00%,0,1,50.00%,1,2,5,0,5,2,0,2,1,0,13
13,克里斯-波什,12-13,胜,猛龙91-108热火,1,29,70.00%,7,10,66.70%,2,3,50.00%,2,4,2,0,2,0,2,0,1,0,18
14,克里斯-波什,12-13,胜,雄鹿94-107热火,1,36,75.00%,12,16,66.70%,2,3,66.70%,2,3,7,2,5,0,1,2,2,0,28
15,克里斯-波什,12-13,胜,76人94-98热火,1,32,45.50%,5,11,,0,0,,0,0,5,1,4,1,2,3,2,1,10
16,克里斯-波什,12-13,胜,老鹰81-98热火,1,24,50.00%,6,12,0.00%,0,1,100.00%,2,2,3,0,3,1,0,2,0,0,14
17,克里斯-波什,12-13,胜,步行者91-105热火,1,33,73.30%,11,15,50.00%,1,2,50.00%,1,2,3,1,2,4,1,3,0,3,24
18,克里斯-波什,12-13,胜,76人93-102热火,1,31,50.00%,7,14,,0,0,66.70%,2,3,4,1,3,4,1,1,1,0,16
19,克里斯-波什,12-13,胜,魔术96-97热火,1,33,33.30%,5,15,0.00%,0,1,87.50%,7,8,10,2,8,3,2,2,4,1,17
20,克里斯-波什,12-13,胜,森林狼81-97热火,1,31,60.00%,3,5,0.00%,0,1,83.30%,5,6,9,2,7,1,3,0,1,2,11
21,克里斯-波什,12-13,胜,尼克斯93-99热火,1,37,41.20%,7,17,0.00%,0,1,66.70%,2,3,1,1,0,0,1,0,2,4,16
22,克里斯-波什,12-13,胜,灰熊91-98热火,1,33,50.00%,6,12,0.00%,0,1,50.00%,1,2,6,0,6,1,0,0,3,2,13
