id,球员,赛季,果,比赛,首发,时间,投篮,命中,出手,三分,命中,出手,罚球,命中,出手,篮板,前场,后场,助攻,抢断,盖帽,失误,犯规,得分
1,安德鲁-拜纳姆,10-11,胜,马刺93-102湖人,1,13,66.70%,2,3,,0,0,,0,0,4,0,4,0,0,2,0,0,4
2,安德鲁-拜纳姆,10-11,负,雷霆120-106湖人,1,39,44.40%,4,9,,0,0,66.70%,4,6,13,2,11,2,1,2,0,2,12
3,安德鲁-拜纳姆,10-11,负,开拓者93-86湖人,1,31,50.00%,1,2,,0,0,50.00%,1,2,6,1,5,0,2,2,3,6,3
4,安德鲁-拜纳姆,10-11,负,勇士95-87湖人,1,35,100.00%,5,5,,0,0,42.90%,3,7,17,4,13,3,1,0,3,4,13
5,安德鲁-拜纳姆,10-11,负,爵士86-85湖人,1,39,38.50%,5,13,,0,0,100.00%,2,2,23,7,16,1,0,4,2,0,12
6,安德鲁-拜纳姆,10-11,负,掘金95-90湖人,1,31,57.10%,4,7,,0,0,,0,0,16,5,11,2,2,2,3,2,8
7,安德鲁-拜纳姆,10-11,胜,爵士85-96湖人,1,31,57.10%,4,7,,0,0,33.30%,3,9,5,1,4,3,0,3,1,3,11
8,安德鲁-拜纳姆,10-11,胜,小牛82-110湖人,1,37,66.70%,6,9,,0,0,75.00%,6,8,13,3,10,3,0,2,0,0,18
9,安德鲁-拜纳姆,10-11,胜,黄蜂84-102湖人,1,22,83.30%,5,6,,0,0,60.00%,3,5,5,2,3,1,0,1,3,5,13
10,安德鲁-拜纳姆,10-11,胜,快船104-112湖人,1,33,66.70%,4,6,,0,0,75.00%,3,4,12,3,9,2,0,3,0,2,11
11,安德鲁-拜纳姆,10-11,胜,森林狼98-106湖人,1,33,50.00%,4,8,,0,0,66.70%,2,3,14,7,7,1,0,2,1,4,10
12,安德鲁-拜纳姆,10-11,胜,魔术84-97湖人,1,28,30.00%,3,10,,0,0,80.00%,4,5,18,9,9,1,0,4,0,4,10
13,安德鲁-拜纳姆,10-11,胜,小牛91-96湖人,1,37,75.00%,9,12,,0,0,44.40%,4,9,15,3,12,1,1,0,1,1,22
14,安德鲁-拜纳姆,10-11,负,热火94-88湖人,1,37,80.00%,4,5,,0,0,83.30%,5,6,12,3,9,2,2,1,2,4,13
15,安德鲁-拜纳姆,10-11,胜,老鹰87-101湖人,1,35,80.00%,8,10,,0,0,,0,0,16,4,12,3,0,3,1,3,16
