id,球员,赛季,果,比赛,首发,时间,投篮,命中,出手,三分,命中,出手,罚球,命中,出手,篮板,前场,后场,助攻,抢断,盖帽,失误,犯规,得分
1,斯蒂芬-库里,15-16,胜,灰熊104-125勇士,1,30,62.50%,15,24,52.60%,10,19,100.00%,6,6,4,1,3,6,2,0,2,2,46
2,斯蒂芬-库里,15-16,胜,马刺86-92勇士,1,35,59.10%,13,22,44.40%,4,9,100.00%,7,7,5,0,5,5,2,0,4,4,37
3,斯蒂芬-库里,15-16,胜,灰熊99-100勇士,1,34,31.80%,7,22,21.40%,3,14,,0,0,9,0,9,8,1,0,2,1,17
4,斯蒂芬-库里,15-16,胜,马刺101-112勇士,1,36,57.90%,11,19,42.90%,3,7,100.00%,2,2,5,0,5,9,2,0,3,2,27
5,斯蒂芬-库里,15-16,负,森林狼124-117勇士,1,43,28.00%,7,25,28.60%,4,14,100.00%,3,3,6,2,4,15,3,0,3,4,21
6,斯蒂芬-库里,15-16,胜,开拓者111-136勇士,1,35,61.90%,13,21,69.20%,9,13,100.00%,4,4,6,2,4,7,2,1,4,2,39
7,斯蒂芬-库里,15-16,负,凯尔特109-106勇士,1,37,47.40%,9,19,57.10%,8,14,100.00%,3,3,5,0,5,6,1,0,9,2,29
8,斯蒂芬-库里,15-16,胜,爵士96-103勇士,1,42,47.80%,11,23,50.00%,5,10,80.00%,4,5,7,2,5,4,2,0,5,4,31
9,斯蒂芬-库里,15-16,胜,奇才94-102勇士,1,35,45.00%,9,20,75.00%,6,8,100.00%,2,2,7,0,7,7,5,0,5,3,26
10,斯蒂芬-库里,15-16,胜,76人105-117勇士,1,33,43.80%,7,16,22.20%,2,9,80.00%,4,5,3,0,3,8,4,0,4,0,20
11,斯蒂芬-库里,15-16,胜,小牛120-128勇士,1,35,50.00%,9,18,41.70%,5,12,90.90%,10,11,8,0,8,8,4,0,3,0,33
12,斯蒂芬-库里,15-16,胜,快船98-114勇士,1,37,52.20%,12,23,40.00%,4,10,83.30%,5,6,4,0,4,5,3,0,1,3,33
13,斯蒂芬-库里,15-16,胜,森林狼104-109勇士,1,35,35.30%,6,17,22.20%,2,9,83.30%,5,6,7,3,4,11,3,1,5,4,19
14,斯蒂芬-库里,15-16,负,马刺87-79勇士,1,38,22.20%,4,18,8.30%,1,12,100.00%,5,5,6,2,4,6,2,0,2,0,14
15,斯蒂芬-库里,15-16,胜,小牛112-130勇士,1,34,46.20%,12,26,50.00%,6,12,100.00%,1,1,9,1,8,10,2,0,1,2,31
16,斯蒂芬-库里,15-16,胜,尼克斯85-121勇士,1,28,60.00%,12,20,61.50%,8,13,100.00%,2,2,6,0,6,4,0,0,2,2,34
17,斯蒂芬-库里,15-16,胜,鹈鹕107-125勇士,1,31,62.50%,10,16,44.40%,4,9,75.00%,3,4,5,1,4,5,2,0,1,1,27
18,斯蒂芬-库里,15-16,胜,太阳116-123勇士,1,35,50.00%,12,24,43.80%,7,16,100.00%,4,4,3,1,2,6,0,0,1,4,35
19,斯蒂芬-库里,15-16,胜,开拓者112-128勇士,1,29,56.50%,13,23,50.00%,7,14,50.00%,1,2,3,0,3,4,2,0,3,2,34
20,斯蒂芬-库里,15-16,胜,爵士94-115勇士,1,32,33.30%,4,12,33.30%,3,9,50.00%,1,2,3,0,3,10,3,0,3,2,12
21,斯蒂芬-库里,15-16,胜,魔术113-119勇士,1,37,58.30%,14,24,53.80%,7,13,100.00%,6,6,13,1,12,3,4,0,5,3,41
22,斯蒂芬-库里,15-16,负,湖人112-95勇士,1,34,30.00%,6,20,10.00%,1,10,100.00%,5,5,6,1,5,4,1,0,4,2,18
23,斯蒂芬-库里,15-16,胜,雷霆106-121勇士,1,37,48.00%,12,25,33.30%,5,15,80.00%,4,5,4,1,3,4,1,1,1,2,33
24,斯蒂芬-库里,15-16,胜,雷霆118-121勇士,1,38,58.30%,14,24,75.00%,12,16,75.00%,6,8,3,0,3,6,2,0,3,1,46
25,斯蒂芬-库里,15-16,胜,魔术114-130勇士,1,34,74.10%,20,27,66.70%,10,15,100.00%,1,1,7,0,7,8,0,1,5,1,51
26,斯蒂芬-库里,15-16,胜,热火112-118勇士,1,36,48.30%,14,29,50.00%,6,12,100.00%,8,8,7,3,4,7,1,1,7,0,42
27,斯蒂芬-库里,15-16,胜,老鹰92-102勇士,1,36,63.60%,14,22,45.50%,5,11,100.00%,3,3,6,1,5,8,3,0,2,2,36
