id,球员,赛季,果,比赛,首发,时间,投篮,命中,出手,三分,命中,出手,罚球,命中,出手,篮板,前场,后场,助攻,抢断,盖帽,失误,犯规,得分
1,蒂姆-邓肯,15-16,胜,雷霆98-102马刺,1,34,35.70%,5,14,,0,0,50.00%,2,4,9,4,5,3,0,1,1,2,12
2,蒂姆-邓肯,15-16,负,掘金102-98马刺,1,34,60.00%,9,15,,0,0,50.00%,3,6,7,2,5,2,0,1,2,1,21
3,蒂姆-邓肯,15-16,负,勇士112-101马刺,1,19,33.30%,2,6,,0,0,,0,0,3,1,2,1,0,0,2,0,4
4,蒂姆-邓肯,15-16,胜,爵士86-88马刺,1,24,0.00%,0,3,,0,0,75.00%,3,4,2,0,2,2,0,2,1,2,3
5,蒂姆-邓肯,15-16,胜,猛龙95-102马刺,1,29,28.60%,2,7,,0,0,100.00%,1,1,11,5,6,0,1,3,1,0,5
6,蒂姆-邓肯,15-16,胜,鹈鹕92-100马刺,1,27,30.00%,3,10,,0,0,100.00%,2,2,9,1,8,1,0,3,0,1,8
7,蒂姆-邓肯,15-16,胜,灰熊104-110马刺,1,31,75.00%,6,8,,0,0,0.00%,0,1,8,2,6,7,1,0,1,0,12
8,蒂姆-邓肯,15-16,胜,热火88-112马刺,1,24,50.00%,1,2,,0,0,100.00%,2,2,9,1,8,4,1,0,2,0,4
9,蒂姆-邓肯,15-16,负,黄蜂91-88马刺,1,31,63.60%,7,11,,0,0,40.00%,2,5,10,3,7,2,2,4,1,2,16
10,蒂姆-邓肯,15-16,胜,勇士79-87马刺,0,8,0.00%,0,1,,0,0,50.00%,1,2,2,2,0,0,0,0,2,1,1
11,蒂姆-邓肯,15-16,胜,开拓者110-118马刺,1,21,83.30%,5,6,,0,0,100.00%,1,1,7,0,7,0,0,2,0,2,11
12,蒂姆-邓肯,15-16,胜,快船87-108马刺,1,22,60.00%,3,5,,0,0,,0,0,7,4,3,2,0,0,0,2,6
13,蒂姆-邓肯,15-16,胜,雷霆85-93马刺,1,23,71.40%,5,7,,0,0,50.00%,1,2,6,3,3,1,2,0,0,3,11
14,蒂姆-邓肯,15-16,胜,公牛101-109马刺,1,28,42.90%,3,7,,0,0,33.30%,1,3,3,1,2,4,2,0,0,1,7
15,蒂姆-邓肯,15-16,负,步行者99-91马刺,1,28,33.30%,3,9,,0,0,100.00%,3,3,14,6,8,4,1,2,3,3,9
16,蒂姆-邓肯,15-16,胜,鹈鹕86-94马刺,1,22,33.30%,2,6,,0,0,75.00%,3,4,5,2,3,2,0,2,1,1,7
17,蒂姆-邓肯,15-16,胜,活塞81-97马刺,1,20,66.70%,6,9,,0,0,0.00%,0,1,8,3,5,1,1,0,1,1,12
18,蒂姆-邓肯,15-16,胜,火箭94-104马刺,1,25,42.90%,3,7,,0,0,,0,0,6,1,5,6,0,1,2,4,6
19,蒂姆-邓肯,15-16,胜,爵士78-96马刺,1,32,63.60%,7,11,,0,0,,0,0,11,3,8,2,1,1,3,3,14
20,蒂姆-邓肯,15-16,胜,国王92-108马刺,1,12,0.00%,0,2,,0,0,,0,0,2,0,2,0,0,0,0,2,0
21,蒂姆-邓肯,15-16,胜,太阳111-118马刺,1,17,20.00%,1,5,,0,0,66.70%,4,6,3,0,3,2,1,1,0,2,6
22,蒂姆-邓肯,15-16,胜,湖人113-119马刺,1,28,44.40%,4,9,,0,0,80.00%,4,5,13,5,8,1,0,3,0,1,12
23,蒂姆-邓肯,15-16,负,快船105-86马刺,1,20,16.70%,1,6,,0,0,,0,0,6,0,6,1,1,0,3,2,2
24,蒂姆-邓肯,15-16,胜,魔术96-98马刺,1,18,22.20%,2,9,,0,0,100.00%,1,1,7,2,5,5,0,3,1,1,5
25,蒂姆-邓肯,15-16,胜,湖人95-108马刺,1,21,20.00%,1,5,,0,0,100.00%,2,2,3,1,2,3,1,1,1,0,4
26,蒂姆-邓肯,15-16,胜,小牛83-112马刺,1,21,0.00%,0,4,,0,0,100.00%,2,2,5,0,5,1,0,1,0,2,2
27,蒂姆-邓肯,15-16,胜,骑士95-99马刺,1,33,40.00%,4,10,0.00%,0,1,50.00%,1,2,6,2,4,3,1,2,1,3,9
28,蒂姆-邓肯,15-16,胜,活塞99-109马刺,1,30,62.50%,5,8,,0,0,80.00%,4,5,9,2,7,3,4,2,2,3,14
29,蒂姆-邓肯,15-16,胜,篮网79-106马刺,1,22,57.10%,4,7,,0,0,,0,0,4,1,3,2,1,2,1,2,8
30,蒂姆-邓肯,15-16,胜,尼克斯99-100马刺,1,21,60.00%,3,5,,0,0,50.00%,1,2,5,1,4,1,1,0,2,1,7
31,蒂姆-邓肯,15-16,胜,爵士98-123马刺,1,26,61.50%,8,13,,0,0,100.00%,2,2,8,2,6,6,1,0,0,3,18
32,蒂姆-邓肯,15-16,胜,雄鹿98-123马刺,1,27,63.60%,7,11,,0,0,0.00%,0,1,10,2,8,4,2,1,1,5,14
33,蒂姆-邓肯,15-16,胜,火箭103-121马刺,1,14,0.00%,0,3,,0,0,,0,0,4,0,4,2,0,0,1,1,0
34,蒂姆-邓肯,15-16,负,火箭88-84马刺,1,32,50.00%,5,10,,0,0,75.00%,3,4,11,2,9,3,0,0,3,4,13
35,蒂姆-邓肯,15-16,胜,森林狼83-108马刺,1,24,16.70%,1,6,,0,0,,0,0,5,2,3,5,1,4,2,2,2
36,蒂姆-邓肯,15-16,胜,步行者92-106马刺,1,23,50.00%,3,6,,0,0,100.00%,1,1,5,1,4,3,2,2,1,3,7
37,蒂姆-邓肯,15-16,胜,快船107-115马刺,1,29,62.50%,5,8,,0,0,66.70%,4,6,5,3,2,4,1,0,2,2,14
38,蒂姆-邓肯,15-16,胜,爵士81-118马刺,1,18,100.00%,2,2,,0,0,100.00%,1,1,5,1,4,1,0,0,2,2,5
39,蒂姆-邓肯,15-16,胜,老鹰78-103马刺,1,31,33.30%,2,6,,0,0,,0,0,10,0,10,4,1,0,4,2,4
40,蒂姆-邓肯,15-16,胜,湖人87-109马刺,1,20,40.00%,2,5,,0,0,25.00%,1,4,4,0,4,2,1,1,2,0,5
41,蒂姆-邓肯,15-16,负,猛龙97-94马刺,1,20,50.00%,4,8,,0,0,,0,0,2,2,0,2,0,0,1,1,8
42,蒂姆-邓肯,15-16,胜,凯尔特105-108马刺,1,24,60.00%,3,5,,0,0,,0,0,5,1,4,4,0,1,1,1,6
43,蒂姆-邓肯,15-16,胜,灰熊83-103马刺,1,31,50.00%,3,6,,0,0,,0,0,10,1,9,5,1,3,1,3,6
44,蒂姆-邓肯,15-16,胜,雄鹿70-95马刺,1,20,63.60%,7,11,,0,0,100.00%,2,2,10,3,7,1,1,0,2,1,16
45,蒂姆-邓肯,15-16,负,公牛92-89马刺,1,30,42.90%,3,7,,0,0,,0,0,12,4,8,3,0,1,2,3,6
46,蒂姆-邓肯,15-16,胜,老鹰88-108马刺,1,28,55.60%,5,9,,0,0,,0,0,18,5,13,4,1,2,1,3,10
47,蒂姆-邓肯,15-16,胜,小牛83-88马刺,1,28,25.00%,1,4,,0,0,,0,0,9,1,8,4,0,2,2,2,2
48,蒂姆-邓肯,15-16,胜,太阳84-98马刺,1,32,33.30%,2,6,,0,0,75.00%,3,4,8,3,5,1,2,1,2,3,7
49,蒂姆-邓肯,15-16,胜,灰熊82-92马刺,1,36,62.50%,5,8,,0,0,,0,0,10,2,8,4,4,2,3,5,10
50,蒂姆-邓肯,15-16,负,鹈鹕104-90马刺,1,19,33.30%,2,6,,0,0,100.00%,2,2,0,0,0,2,1,1,0,2,6
51,蒂姆-邓肯,15-16,胜,掘金98-109马刺,1,28,62.50%,5,8,,0,0,100.00%,2,2,11,5,6,6,1,6,2,3,12
52,蒂姆-邓肯,15-16,胜,开拓者80-93马刺,1,29,50.00%,4,8,,0,0,66.70%,2,3,9,4,5,2,0,2,2,0,10
53,蒂姆-邓肯,15-16,胜,76人83-92马刺,1,27,58.30%,7,12,,0,0,33.30%,1,3,4,1,3,2,1,4,1,2,15
54,蒂姆-邓肯,15-16,胜,开拓者101-113马刺,1,21,71.40%,5,7,,0,0,66.70%,2,3,6,0,6,2,1,2,1,3,12
55,蒂姆-邓肯,15-16,胜,国王88-106马刺,1,23,50.00%,4,8,,0,0,75.00%,3,4,14,4,10,2,0,0,2,3,11
56,蒂姆-邓肯,15-16,胜,黄蜂94-114马刺,1,24,80.00%,4,5,,0,0,75.00%,3,4,8,1,7,2,0,0,3,2,11
57,蒂姆-邓肯,15-16,负,奇才102-99马刺,1,27,60.00%,3,5,,0,0,100.00%,2,2,11,2,9,5,0,0,4,4,8
58,蒂姆-邓肯,15-16,胜,尼克斯84-94马刺,1,35,60.00%,6,10,,0,0,66.70%,4,6,10,1,9,6,1,2,1,4,16
59,蒂姆-邓肯,15-16,胜,凯尔特87-95马刺,1,29,33.30%,3,9,0.00%,0,1,50.00%,1,2,9,1,8,5,0,1,4,4,7
60,蒂姆-邓肯,15-16,胜,篮网75-102马刺,1,29,57.10%,4,7,,0,0,100.00%,7,7,8,0,8,1,0,0,2,2,15
61,蒂姆-邓肯,15-16,负,雷霆112-106马刺,1,26,37.50%,3,8,,0,0,100.00%,2,2,6,3,3,0,2,3,1,2,8
