id,球员,赛季,果,比赛,首发,时间,投篮,命中,出手,三分,命中,出手,罚球,命中,出手,篮板,前场,后场,助攻,抢断,盖帽,失误,犯规,得分
1,凯文-杜兰特,16-17,胜,湖人94-109勇士,1,27,68.80%,11,16,71.40%,5,7,50.00%,2,4,8,0,8,5,1,1,3,1,29
2,凯文-杜兰特,16-17,负,爵士105-99勇士,1,33,50.00%,6,12,0.00%,0,5,100.00%,4,4,10,0,10,6,1,1,1,1,16
3,凯文-杜兰特,16-17,胜,鹈鹕101-123勇士,1,31,40.00%,6,15,0.00%,0,4,100.00%,4,4,10,1,9,6,0,0,1,3,16
4,凯文-杜兰特,16-17,负,奇才112-108勇士,1,2,0.00%,0,1,,0,0,,0,0,0,0,0,0,0,0,1,0,0
5,凯文-杜兰特,16-17,胜,76人108-119勇士,1,33,47.10%,8,17,25.00%,1,4,90.90%,10,11,8,3,5,4,0,1,2,2,27
6,凯文-杜兰特,16-17,胜,快船113-123勇士,1,34,53.30%,8,15,66.70%,4,6,83.30%,5,6,15,1,14,7,1,1,1,3,25
7,凯文-杜兰特,16-17,胜,国王86-109勇士,1,32,66.70%,10,15,25.00%,1,4,,0,0,7,0,7,7,1,4,1,1,21
8,凯文-杜兰特,16-17,负,掘金132-110勇士,1,27,62.50%,10,16,40.00%,2,5,100.00%,3,3,4,1,3,5,1,1,3,1,25
9,凯文-杜兰特,16-17,胜,雷霆114-130勇士,1,33,57.10%,12,21,50.00%,3,6,100.00%,7,7,9,1,8,3,0,0,3,5,34
10,凯文-杜兰特,16-17,胜,灰熊107-122勇士,1,32,35.70%,5,14,50.00%,3,6,78.60%,11,14,5,0,5,4,1,2,3,2,24
11,凯文-杜兰特,16-17,胜,公牛92-123勇士,1,31,56.30%,9,16,50.00%,1,2,100.00%,3,3,10,0,10,7,3,1,3,1,22
12,凯文-杜兰特,16-17,负,国王109-106勇士,1,42,20.00%,2,10,0.00%,0,6,85.70%,6,7,9,0,9,2,1,5,3,0,10
13,凯文-杜兰特,16-17,胜,快船120-133勇士,1,37,44.40%,8,18,28.60%,2,7,100.00%,8,8,8,0,8,10,1,0,0,3,26
14,凯文-杜兰特,16-17,胜,黄蜂111-126勇士,1,33,41.20%,7,17,14.30%,1,7,100.00%,3,3,8,2,6,8,1,0,1,0,18
15,凯文-杜兰特,16-17,胜,开拓者111-113勇士,1,36,50.00%,13,26,14.30%,1,7,100.00%,6,6,10,2,8,6,0,1,7,2,33
16,凯文-杜兰特,16-17,胜,快船98-144勇士,1,29,81.80%,9,11,75.00%,3,4,100.00%,2,2,4,1,3,7,1,1,0,1,23
17,凯文-杜兰特,16-17,胜,黄蜂103-113勇士,1,37,55.00%,11,20,25.00%,1,4,100.00%,10,10,5,0,5,1,0,4,6,3,33
18,凯文-杜兰特,16-17,负,热火105-102勇士,1,36,52.20%,12,23,12.50%,1,8,100.00%,2,2,6,0,6,3,1,0,2,2,27
19,凯文-杜兰特,16-17,胜,魔术98-118勇士,1,29,41.70%,5,12,33.30%,1,3,80.00%,4,5,10,1,9,6,3,2,1,1,15
20,凯文-杜兰特,16-17,胜,火箭108-125勇士,1,34,63.20%,12,19,28.60%,2,7,85.70%,6,7,4,0,4,7,2,2,1,2,32
21,凯文-杜兰特,16-17,胜,雷霆100-121勇士,1,34,81.30%,13,16,71.40%,5,7,90.00%,9,10,12,2,10,4,0,3,2,2,40
22,凯文-杜兰特,16-17,胜,骑士91-126勇士,1,29,56.30%,9,16,42.90%,3,7,,0,0,6,1,5,5,2,3,1,0,21
23,凯文-杜兰特,16-17,胜,活塞107-127勇士,1,31,66.70%,10,15,60.00%,3,5,100.00%,2,2,6,0,6,9,1,0,3,0,25
24,凯文-杜兰特,16-17,胜,热火95-107勇士,1,37,47.60%,10,21,50.00%,3,6,100.00%,5,5,8,1,7,0,1,2,2,2,28
25,凯文-杜兰特,16-17,胜,国王106-117勇士,1,36,60.00%,9,15,50.00%,2,4,88.90%,8,9,7,0,7,6,1,4,1,1,28
26,凯文-杜兰特,16-17,负,灰熊128-119勇士,1,43,41.20%,7,17,0.00%,0,5,72.20%,13,18,13,2,11,4,0,3,4,1,27
27,凯文-杜兰特,16-17,胜,开拓者117-125勇士,1,38,56.30%,9,16,37.50%,3,8,100.00%,9,9,5,0,5,4,2,3,2,3,30
28,凯文-杜兰特,16-17,胜,掘金119-127勇士,1,34,52.60%,10,19,25.00%,1,4,,0,0,3,0,3,2,1,1,2,2,21
29,凯文-杜兰特,16-17,胜,小牛99-108勇士,1,35,50.00%,7,14,28.60%,2,7,75.00%,3,4,11,0,11,10,0,0,4,0,19
30,凯文-杜兰特,16-17,胜,猛龙111-121勇士,1,38,53.30%,8,15,60.00%,3,5,60.00%,3,5,17,0,17,7,0,5,6,0,22
31,凯文-杜兰特,16-17,负,骑士109-108勇士,1,38,47.80%,11,23,25.00%,2,8,100.00%,12,12,15,0,15,3,1,1,0,2,36
32,凯文-杜兰特,16-17,胜,活塞113-119勇士,1,32,72.20%,13,18,75.00%,3,4,75.00%,3,4,8,0,8,3,0,0,4,5,32
33,凯文-杜兰特,16-17,胜,篮网101-117勇士,1,34,43.50%,10,23,14.30%,1,7,83.30%,5,6,9,0,9,7,3,1,0,2,26
34,凯文-杜兰特,16-17,胜,爵士74-104勇士,1,25,57.10%,8,14,0.00%,0,1,100.00%,6,6,5,1,4,1,0,0,1,4,22
35,凯文-杜兰特,16-17,胜,开拓者90-135勇士,1,31,84.60%,11,13,80.00%,4,5,80.00%,8,10,11,1,10,4,2,1,5,2,34
36,凯文-杜兰特,16-17,胜,尼克斯90-103勇士,1,33,38.90%,7,18,16.70%,1,6,,0,0,14,1,13,8,0,2,2,1,15
37,凯文-杜兰特,16-17,胜,鹈鹕109-113勇士,1,37,52.60%,10,19,33.30%,1,3,85.70%,6,7,2,0,2,3,0,2,3,2,27
38,凯文-杜兰特,16-17,胜,森林狼108-116勇士,1,37,28.60%,6,21,25.00%,1,4,100.00%,9,9,8,1,7,5,0,0,1,2,22
39,凯文-杜兰特,16-17,负,灰熊110-89勇士,1,31,53.80%,7,13,50.00%,3,6,80.00%,4,5,7,0,7,1,1,2,3,2,21
40,凯文-杜兰特,16-17,胜,爵士99-106勇士,1,36,46.70%,7,15,33.30%,1,3,75.00%,6,8,11,0,11,4,1,2,3,2,21
41,凯文-杜兰特,16-17,胜,快船98-115勇士,1,32,29.40%,5,17,20.00%,1,5,83.30%,5,6,8,0,8,7,1,0,0,3,16
42,凯文-杜兰特,16-17,胜,步行者106-142勇士,1,22,64.30%,9,14,0.00%,0,2,66.70%,2,3,8,1,7,4,0,2,2,3,20
43,凯文-杜兰特,16-17,胜,太阳109-138勇士,1,32,71.40%,5,7,100.00%,1,1,100.00%,9,9,4,0,4,8,0,3,1,1,20
44,凯文-杜兰特,16-17,负,火箭132-127勇士,1,49,42.90%,12,28,27.30%,3,11,100.00%,12,12,14,1,13,2,3,3,2,3,39
