id,球员,赛季,果,比赛,首发,时间,投篮,命中,出手,三分,命中,出手,罚球,命中,出手,篮板,前场,后场,助攻,抢断,盖帽,失误,犯规,得分
1,凯文-加内特,08-09,负,魔术84-82凯尔特,1,17,40.00%,2,5,,0,0,,0,0,8,3,5,1,0,1,1,1,4
2,凯文-加内特,08-09,胜,快船77-90凯尔特,1,18,100.00%,5,5,,0,0,100.00%,2,2,2,0,2,2,1,0,0,1,12
3,凯文-加内特,08-09,胜,灰熊87-105凯尔特,1,17,71.40%,5,7,,0,0,,0,0,4,0,4,0,1,2,0,0,10
4,凯文-加内特,08-09,胜,马刺77-80凯尔特,1,15,55.60%,5,9,,0,0,,0,0,4,1,3,1,0,0,0,2,10
5,凯文-加内特,08-09,负,爵士90-85凯尔特,1,15,66.70%,4,6,,0,0,,0,0,2,0,2,0,0,1,0,0,8
6,凯文-加内特,08-09,胜,小牛92-99凯尔特,1,31,53.80%,7,13,,0,0,100.00%,2,2,5,2,3,3,0,0,4,5,16
7,凯文-加内特,08-09,胜,黄蜂77-89凯尔特,1,30,53.80%,7,13,,0,0,,0,0,10,1,9,2,1,0,1,4,14
8,凯文-加内特,08-09,负,马刺105-99凯尔特,1,35,52.20%,12,23,100.00%,1,1,50.00%,1,2,12,0,12,4,2,1,0,3,26
9,凯文-加内特,08-09,胜,尼克斯100-110凯尔特,1,35,46.70%,7,15,,0,0,50.00%,1,2,11,2,9,4,0,2,1,4,15
10,凯文-加内特,08-09,负,湖人110-109凯尔特,1,33,58.30%,7,12,,0,0,100.00%,2,2,6,1,5,2,1,3,4,6,16
11,凯文-加内特,08-09,胜,活塞78-86凯尔特,1,37,58.80%,10,17,,0,0,100.00%,2,2,9,1,8,3,1,2,2,2,22
12,凯文-加内特,08-09,胜,国王100-119凯尔特,1,27,46.70%,7,15,,0,0,,0,0,8,2,6,5,1,1,1,2,14
13,凯文-加内特,08-09,胜,小牛100-124凯尔特,1,25,64.70%,11,17,,0,0,33.30%,1,3,2,0,2,4,1,0,1,2,23
14,凯文-加内特,08-09,胜,魔术80-90凯尔特,1,36,61.50%,8,13,,0,0,,0,0,5,1,4,1,1,0,1,3,16
15,凯文-加内特,08-09,胜,热火83-98凯尔特,1,32,50.00%,6,12,,0,0,100.00%,4,4,13,2,11,1,3,0,2,0,16
16,凯文-加内特,08-09,胜,太阳87-104凯尔特,1,25,70.00%,7,10,,0,0,100.00%,2,2,8,2,6,3,3,1,0,3,16
17,凯文-加内特,08-09,胜,篮网85-105凯尔特,1,28,50.00%,5,10,,0,0,100.00%,2,2,10,1,9,6,0,0,2,3,12
18,凯文-加内特,08-09,胜,篮网86-118凯尔特,1,24,72.70%,8,11,,0,0,100.00%,4,4,9,2,7,3,1,1,0,1,20
19,凯文-加内特,08-09,胜,猛龙109-115凯尔特,1,40,46.70%,7,15,,0,0,100.00%,6,6,12,3,9,2,2,2,1,4,20
20,凯文-加内特,08-09,胜,猛龙88-94凯尔特,1,39,18.80%,3,16,0.00%,0,1,66.70%,4,6,11,2,9,2,0,0,1,2,10
21,凯文-加内特,08-09,负,骑士98-83凯尔特,1,29,53.30%,8,15,,0,0,100.00%,2,2,15,5,10,3,0,0,0,5,18
22,凯文-加内特,08-09,负,火箭89-85凯尔特,1,34,47.40%,9,19,,0,0,0.00%,0,1,8,1,7,2,1,1,1,1,18
23,凯文-加内特,08-09,负,山猫114-106凯尔特,1,41,38.90%,7,18,0.00%,0,1,,0,0,13,2,11,1,1,1,2,5,14
24,凯文-加内特,08-09,负,尼克斯100-88凯尔特,1,29,16.70%,1,6,,0,0,100.00%,4,4,9,1,8,2,1,5,3,3,6
25,凯文-加内特,08-09,胜,奇才83-108凯尔特,1,25,55.60%,5,9,,0,0,,0,0,8,0,8,3,0,1,2,1,10
26,凯文-加内特,08-09,负,开拓者91-86凯尔特,1,37,46.70%,7,15,,0,0,75.00%,3,4,8,0,8,2,1,0,1,2,17
27,凯文-加内特,08-09,胜,国王63-108凯尔特,1,23,90.90%,10,11,,0,0,100.00%,1,1,11,0,11,0,1,0,2,3,21
28,凯文-加内特,08-09,负,勇士99-89凯尔特,1,38,35.70%,5,14,0.00%,0,1,80.00%,4,5,4,1,3,2,1,3,3,3,14
29,凯文-加内特,08-09,负,湖人92-83凯尔特,1,37,78.60%,11,14,0.00%,0,1,,0,0,9,0,9,2,1,1,0,2,22
30,凯文-加内特,08-09,胜,76人91-110凯尔特,1,30,53.80%,7,13,,0,0,100.00%,4,4,4,1,3,2,0,2,1,1,18
31,凯文-加内特,08-09,胜,尼克斯105-124凯尔特,1,34,62.50%,5,8,,0,0,100.00%,2,2,6,0,6,8,1,0,4,2,12
32,凯文-加内特,08-09,胜,公牛108-126凯尔特,1,26,63.60%,7,11,,0,0,100.00%,3,3,1,0,1,4,4,2,0,4,17
33,凯文-加内特,08-09,胜,老鹰85-88凯尔特,1,37,46.70%,7,15,,0,0,80.00%,4,5,8,2,6,3,1,2,1,3,18
34,凯文-加内特,08-09,胜,爵士91-100凯尔特,1,38,61.50%,8,13,,0,0,100.00%,3,3,10,1,9,4,3,2,3,1,19
35,凯文-加内特,08-09,胜,黄蜂82-94凯尔特,1,34,80.00%,8,10,,0,0,75.00%,3,4,10,1,9,0,0,1,3,5,19
36,凯文-加内特,08-09,胜,奇才88-122凯尔特,1,27,45.50%,5,11,,0,0,100.00%,1,1,12,3,9,7,2,1,5,1,11
37,凯文-加内特,08-09,胜,步行者117-122凯尔特,1,42,54.50%,6,11,,0,0,83.30%,5,6,20,1,19,4,5,1,1,2,17
38,凯文-加内特,08-09,胜,开拓者78-93凯尔特,1,31,50.00%,7,14,0.00%,0,1,,0,0,11,2,9,4,0,0,1,1,14
39,凯文-加内特,08-09,胜,步行者96-114凯尔特,1,32,78.60%,11,14,,0,0,80.00%,4,5,14,2,12,3,1,4,0,0,26
