id,球员,赛季,果,比赛,首发,时间,投篮,命中,出手,三分,命中,出手,罚球,命中,出手,篮板,前场,后场,助攻,抢断,盖帽,失误,犯规,得分
1,保罗-加索尔,08-09,胜,爵士112-125湖人,1,35,66.70%,8,12,,0,0,100.00%,4,4,9,1,8,6,1,2,3,2,20
2,保罗-加索尔,08-09,胜,灰熊75-92湖人,1,32,42.90%,6,14,,0,0,0.00%,0,1,13,3,10,3,2,1,0,3,12
3,保罗-加索尔,08-09,负,开拓者106-98湖人,1,36,66.70%,6,9,,0,0,,0,0,4,1,3,1,0,1,1,3,12
4,保罗-加索尔,08-09,胜,掘金102-116湖人,1,38,47.40%,9,19,,0,0,81.80%,9,11,19,11,8,3,0,0,3,4,27
5,保罗-加索尔,08-09,胜,国王104-122湖人,1,37,68.80%,11,16,,0,0,66.70%,4,6,12,3,9,0,0,0,2,3,26
6,保罗-加索尔,08-09,胜,快船85-88湖人,1,36,41.70%,5,12,,0,0,66.70%,4,6,9,1,8,4,2,1,2,3,14
7,保罗-加索尔,08-09,胜,火箭81-93湖人,1,38,42.10%,8,19,,0,0,87.50%,7,8,10,3,7,1,3,0,2,3,23
8,保罗-加索尔,08-09,胜,雄鹿98-104湖人,1,43,50.00%,5,10,,0,0,83.30%,5,6,6,1,5,2,2,2,2,1,15
9,保罗-加索尔,08-09,负,山猫94-84湖人,1,45,47.10%,8,17,,0,0,,0,0,11,5,6,7,1,2,1,1,16
10,保罗-加索尔,08-09,负,老鹰86-76湖人,1,40,70.00%,7,10,,0,0,70.00%,7,10,11,4,7,0,0,2,0,2,21
11,保罗-加索尔,08-09,胜,篮网95-103湖人,1,45,73.70%,14,19,,0,0,80.00%,8,10,11,3,8,7,2,2,3,4,36
12,保罗-加索尔,08-09,胜,活塞77-92湖人,1,41,50.00%,5,10,,0,0,100.00%,2,2,11,0,11,3,0,0,5,2,12
13,保罗-加索尔,08-09,胜,雷霆89-107湖人,1,34,53.80%,7,13,,0,0,0.00%,0,1,14,3,11,7,0,0,5,1,14
14,保罗-加索尔,08-09,胜,公牛109-117湖人,1,37,52.90%,9,17,,0,0,62.50%,5,8,10,5,5,3,0,0,2,5,23
15,保罗-加索尔,08-09,胜,勇士106-114湖人,1,36,60.00%,9,15,,0,0,50.00%,3,6,14,5,9,1,1,1,3,2,21
16,保罗-加索尔,08-09,负,76人94-93湖人,1,44,75.00%,9,12,,0,0,77.80%,7,9,8,3,5,6,1,3,3,2,25
17,保罗-加索尔,08-09,胜,小牛100-107湖人,1,41,92.30%,12,13,,0,0,33.30%,1,3,8,4,4,2,1,3,3,4,25
