id,球员,赛季,果,比赛,首发,时间,投篮,命中,出手,三分,命中,出手,罚球,命中,出手,篮板,前场,后场,助攻,抢断,盖帽,失误,犯规,得分
1,马努-吉诺比利,11-12,胜,开拓者89-124马刺,0,17,40.00%,2,5,0.00%,0,2,100.00%,2,2,2,1,1,3,2,0,1,0,6
2,马努-吉诺比利,11-12,胜,骑士98-114马刺,0,22,75.00%,9,12,0.00%,0,1,100.00%,2,2,3,0,3,3,1,0,3,0,20
3,马努-吉诺比利,11-12,胜,湖人97-121马刺,0,25,66.70%,6,9,75.00%,3,4,100.00%,5,5,6,3,3,7,0,0,4,1,20
4,马努-吉诺比利,11-12,胜,国王102-127马刺,0,17,80.00%,4,5,100.00%,1,1,80.00%,4,5,2,0,2,5,1,0,1,2,13
5,马努-吉诺比利,11-12,胜,湖人91-112马刺,0,26,46.20%,6,13,20.00%,1,5,50.00%,2,4,6,2,4,4,1,0,0,2,15
6,马努-吉诺比利,11-12,胜,勇士99-120马刺,0,15,57.10%,4,7,66.70%,2,3,66.70%,2,3,3,1,2,4,0,0,1,0,12
7,马努-吉诺比利,11-12,胜,太阳91-105马刺,0,21,33.30%,2,6,0.00%,0,2,100.00%,3,3,1,0,1,4,0,0,3,3,7
8,马努-吉诺比利,11-12,胜,灰熊97-107马刺,0,30,44.40%,4,9,25.00%,1,4,100.00%,11,11,6,0,6,4,0,1,0,1,20
9,马努-吉诺比利,11-12,负,湖人98-84马刺,0,26,37.50%,3,8,25.00%,1,4,50.00%,2,4,4,0,4,5,1,0,4,0,9
10,马努-吉诺比利,11-12,胜,爵士104-114马刺,0,28,40.00%,4,10,16.70%,1,6,93.30%,14,15,5,1,4,2,0,1,1,3,23
11,马努-吉诺比利,11-12,胜,黄蜂103-128马刺,0,21,83.30%,5,6,100.00%,2,2,100.00%,2,2,2,0,2,4,0,1,1,0,14
12,马努-吉诺比利,11-12,胜,凯尔特86-87马刺,0,25,33.30%,2,6,0.00%,0,3,100.00%,1,1,2,1,1,2,0,0,5,1,5
13,马努-吉诺比利,11-12,胜,骑士90-125马刺,0,19,50.00%,2,4,100.00%,1,1,100.00%,2,2,6,1,5,6,2,0,1,1,7
14,马努-吉诺比利,11-12,胜,步行者103-112马刺,0,28,60.00%,6,10,50.00%,2,4,100.00%,4,4,2,0,2,5,2,0,3,2,18
15,马努-吉诺比利,11-12,胜,国王112-117马刺,0,25,66.70%,8,12,75.00%,3,4,100.00%,1,1,1,0,1,5,0,1,4,2,20
16,马努-吉诺比利,11-12,胜,太阳100-107马刺,0,27,60.00%,6,10,25.00%,1,4,,0,0,5,2,3,5,1,0,1,1,13
17,马努-吉诺比利,11-12,胜,76人76-93马刺,0,27,38.50%,5,13,0.00%,0,5,100.00%,1,1,5,1,4,5,3,2,2,3,11
18,马努-吉诺比利,11-12,胜,小牛87-104马刺,1,28,36.40%,4,11,40.00%,2,5,100.00%,1,1,7,0,7,7,2,1,3,4,11
19,马努-吉诺比利,11-12,胜,森林狼100-116马刺,0,25,44.40%,4,9,33.30%,1,3,,0,0,4,1,3,8,0,0,1,1,9
20,马努-吉诺比利,11-12,负,小牛106-99马刺,0,24,27.30%,3,11,28.60%,2,7,50.00%,1,2,3,0,3,6,0,0,2,4,9
21,马努-吉诺比利,11-12,胜,魔术111-122马刺,0,23,50.00%,5,10,57.10%,4,7,,0,0,3,1,2,3,0,0,1,3,14
22,马努-吉诺比利,11-12,胜,奇才97-112马刺,1,20,57.10%,4,7,0.00%,0,1,,0,0,1,0,1,7,0,0,0,2,8
23,马努-吉诺比利,11-12,负,快船120-108马刺,0,28,60.00%,6,10,66.70%,4,6,100.00%,6,6,3,1,2,6,1,0,4,1,22
24,马努-吉诺比利,11-12,胜,尼克斯105-118马刺,0,26,70.00%,7,10,60.00%,3,5,0.00%,0,2,4,0,4,6,1,1,4,2,17
25,马努-吉诺比利,11-12,负,掘金99-94马刺,0,24,40.00%,2,5,66.70%,2,3,100.00%,2,2,4,0,4,5,0,0,1,3,8
26,马努-吉诺比利,11-12,胜,快船100-103马刺,0,18,33.30%,1,3,0.00%,0,2,,0,0,1,0,1,3,0,1,1,2,2
27,马努-吉诺比利,11-12,胜,猛龙106-113马刺,0,20,75.00%,3,4,50.00%,1,2,80.00%,4,5,3,0,3,1,0,0,2,2,11
28,马努-吉诺比利,11-12,胜,活塞95-99马刺,0,25,0.00%,0,4,0.00%,0,1,50.00%,1,2,2,0,2,7,0,1,1,3,1
29,马努-吉诺比利,11-12,胜,篮网89-103马刺,0,17,57.10%,4,7,0.00%,0,2,,0,0,1,0,1,4,0,0,1,0,8
30,马努-吉诺比利,11-12,负,森林狼106-96马刺,1,13,50.00%,3,6,33.30%,1,3,100.00%,1,1,2,0,2,2,1,0,0,1,8
31,马努-吉诺比利,11-12,胜,爵士89-104马刺,1,24,90.00%,9,10,83.30%,5,6,,0,0,4,0,4,2,0,0,3,1,23
32,马努-吉诺比利,11-12,负,火箭105-85马刺,1,20,50.00%,4,8,0.00%,0,2,,0,0,5,1,4,1,1,1,3,2,8
33,马努-吉诺比利,11-12,胜,快船90-115马刺,1,27,60.00%,6,10,62.50%,5,8,100.00%,7,7,3,0,3,6,1,0,0,2,24
34,马努-吉诺比利,11-12,胜,灰熊82-95马刺,1,31,46.70%,7,15,37.50%,3,8,87.50%,7,8,5,1,4,4,3,1,2,1,24
