id,球员,赛季,果,比赛,首发,时间,投篮,命中,出手,三分,命中,出手,罚球,命中,出手,篮板,前场,后场,助攻,抢断,盖帽,失误,犯规,得分
1,德雷蒙德-格林,15-16,胜,灰熊104-125勇士,1,30,50.00%,4,8,50.00%,2,4,50.00%,1,2,9,3,6,7,1,1,5,1,11
2,德雷蒙德-格林,15-16,胜,马刺86-92勇士,1,33,80.00%,4,5,50.00%,1,2,66.70%,2,3,4,1,3,4,0,1,1,4,11
3,德雷蒙德-格林,15-16,胜,灰熊99-100勇士,1,35,71.40%,10,14,40.00%,2,5,50.00%,1,2,11,2,9,4,1,3,4,2,23
4,德雷蒙德-格林,15-16,胜,马刺101-112勇士,1,34,58.30%,7,12,66.70%,2,3,100.00%,2,2,6,0,6,7,1,0,4,2,18
5,德雷蒙德-格林,15-16,负,森林狼124-117勇士,1,39,45.50%,5,11,0.00%,0,3,66.70%,2,3,6,1,5,9,3,2,6,6,12
6,德雷蒙德-格林,15-16,胜,开拓者111-136勇士,1,35,41.20%,7,17,0.00%,0,2,88.90%,8,9,10,5,5,10,2,3,1,3,22
7,德雷蒙德-格林,15-16,负,凯尔特109-106勇士,1,37,38.50%,5,13,37.50%,3,8,100.00%,3,3,9,2,7,7,6,2,4,3,16
8,德雷蒙德-格林,15-16,胜,爵士96-103勇士,1,43,50.00%,5,10,33.30%,1,3,66.70%,2,3,8,2,6,6,0,3,4,3,13
9,德雷蒙德-格林,15-16,胜,奇才94-102勇士,1,36,66.70%,4,6,75.00%,3,4,100.00%,4,4,16,0,16,9,1,2,2,3,15
10,德雷蒙德-格林,15-16,胜,76人105-117勇士,1,36,57.10%,4,7,66.70%,2,3,50.00%,3,6,11,1,10,11,1,3,4,2,13
11,德雷蒙德-格林,15-16,胜,小牛120-128勇士,1,35,63.60%,7,11,60.00%,3,5,100.00%,2,2,7,0,7,10,2,2,1,1,19
12,德雷蒙德-格林,15-16,胜,快船98-114勇士,1,37,50.00%,4,8,0.00%,0,2,66.70%,4,6,12,1,11,4,2,0,4,4,12
13,德雷蒙德-格林,15-16,胜,森林狼104-109勇士,1,37,76.90%,10,13,0.00%,0,1,50.00%,4,8,9,4,5,6,3,3,4,4,24
14,德雷蒙德-格林,15-16,负,马刺87-79勇士,1,39,50.00%,5,10,20.00%,1,5,0.00%,0,1,9,2,7,8,1,1,3,3,11
15,德雷蒙德-格林,15-16,胜,小牛112-130勇士,1,36,62.50%,5,8,100.00%,2,2,100.00%,3,3,4,0,4,8,1,1,4,2,15
16,德雷蒙德-格林,15-16,胜,尼克斯85-121勇士,1,29,37.50%,3,8,0.00%,0,2,,0,0,11,1,10,10,0,2,1,2,6
17,德雷蒙德-格林,15-16,胜,鹈鹕107-125勇士,1,31,50.00%,5,10,33.30%,1,3,100.00%,3,3,12,1,11,4,0,3,4,1,14
18,德雷蒙德-格林,15-16,胜,太阳116-123勇士,1,37,41.70%,5,12,20.00%,1,5,80.00%,8,10,4,0,4,6,2,1,3,3,19
19,德雷蒙德-格林,15-16,胜,开拓者112-128勇士,1,33,36.40%,4,11,0.00%,0,4,100.00%,9,9,13,3,10,7,2,1,2,2,17
20,德雷蒙德-格林,15-16,胜,爵士94-115勇士,1,35,53.80%,7,13,50.00%,2,4,50.00%,1,2,7,0,7,5,2,3,3,3,17
21,德雷蒙德-格林,15-16,胜,魔术113-119勇士,1,35,0.00%,0,3,,0,0,50.00%,1,2,9,3,6,10,2,3,7,2,1
22,德雷蒙德-格林,15-16,负,湖人112-95勇士,1,33,28.60%,2,7,33.30%,1,3,100.00%,4,4,10,0,10,9,0,1,7,5,9
23,德雷蒙德-格林,15-16,胜,雷霆106-121勇士,1,35,60.00%,6,10,33.30%,1,3,25.00%,1,4,8,1,7,7,2,0,1,4,14
24,德雷蒙德-格林,15-16,胜,老鹰105-109勇士,1,42,40.00%,6,15,33.30%,2,6,100.00%,1,1,13,2,11,9,4,1,5,5,15
25,德雷蒙德-格林,15-16,胜,雷霆118-121勇士,1,44,0.00%,0,8,0.00%,0,2,40.00%,2,5,14,3,11,14,6,4,3,4,2
26,德雷蒙德-格林,15-16,胜,魔术114-130勇士,1,32,57.10%,4,7,0.00%,0,1,57.10%,4,7,4,0,4,8,4,0,5,3,12
27,德雷蒙德-格林,15-16,胜,热火112-118勇士,1,36,42.90%,3,7,0.00%,0,2,80.00%,4,5,11,2,9,3,0,1,3,3,10
28,德雷蒙德-格林,15-16,胜,老鹰92-102勇士,1,38,20.00%,2,10,0.00%,0,4,100.00%,2,2,14,1,13,9,2,1,4,2,6
29,德雷蒙德-格林,15-16,胜,快船112-115勇士,1,38,64.30%,9,14,0.00%,0,3,,0,0,11,2,9,10,0,0,2,2,18
30,德雷蒙德-格林,15-16,负,开拓者137-105勇士,1,31,71.40%,5,7,100.00%,2,2,100.00%,2,2,12,1,11,8,0,0,9,3,14
31,德雷蒙德-格林,15-16,胜,太阳104-112勇士,1,28,20.00%,1,5,50.00%,1,2,75.00%,6,8,6,0,6,3,1,0,3,3,9
32,德雷蒙德-格林,15-16,胜,火箭110-123勇士,1,32,66.70%,2,3,,0,0,100.00%,4,4,9,2,7,5,0,0,2,5,8
33,德雷蒙德-格林,15-16,胜,雷霆108-116勇士,1,36,33.30%,3,9,,0,0,50.00%,3,6,15,6,9,6,0,0,1,5,9
34,德雷蒙德-格林,15-16,胜,奇才121-134勇士,1,34,60.00%,3,5,0.00%,0,1,66.70%,6,9,10,1,9,12,1,5,4,5,12
35,德雷蒙德-格林,15-16,胜,尼克斯95-116勇士,1,37,100.00%,9,9,100.00%,2,2,0.00%,0,2,10,1,9,10,2,2,4,2,20
36,德雷蒙德-格林,15-16,胜,76人105-108勇士,1,33,71.40%,5,7,,0,0,0.00%,0,1,13,1,12,9,2,1,7,3,10
37,德雷蒙德-格林,15-16,胜,小牛107-127勇士,1,24,100.00%,4,4,100.00%,2,2,,0,0,3,0,3,4,0,0,5,5,10
38,德雷蒙德-格林,15-16,胜,马刺90-120勇士,1,27,37.50%,3,8,0.00%,0,1,100.00%,5,5,9,2,7,6,3,1,4,2,11
39,德雷蒙德-格林,15-16,胜,步行者110-122勇士,1,36,66.70%,10,15,0.00%,0,2,100.00%,2,2,11,3,8,2,4,0,3,4,22
40,德雷蒙德-格林,15-16,胜,公牛94-125勇士,1,29,37.50%,3,8,0.00%,0,3,0.00%,0,2,10,2,8,9,1,0,0,3,6
41,德雷蒙德-格林,15-16,胜,骑士98-132勇士,1,31,50.00%,5,10,50.00%,2,4,57.10%,4,7,7,2,5,10,0,2,1,2,16
42,德雷蒙德-格林,15-16,负,活塞113-95勇士,1,36,14.30%,1,7,100.00%,1,1,50.00%,2,4,5,2,3,9,1,2,2,2,5
43,德雷蒙德-格林,15-16,胜,湖人98-116勇士,1,27,28.60%,2,7,0.00%,0,2,75.00%,3,4,9,3,6,5,3,0,4,1,7
44,德雷蒙德-格林,15-16,胜,热火103-111勇士,1,36,57.10%,8,14,0.00%,0,2,54.50%,6,11,12,3,9,6,1,0,2,2,22
45,德雷蒙德-格林,15-16,胜,国王116-128勇士,1,34,66.70%,8,12,83.30%,5,6,66.70%,4,6,9,0,9,4,2,2,4,3,25
46,德雷蒙德-格林,15-16,胜,开拓者108-128勇士,1,33,66.70%,4,6,0.00%,0,2,75.00%,3,4,13,1,12,10,0,1,2,3,11
47,德雷蒙德-格林,15-16,胜,湖人88-109勇士,1,28,40.00%,2,5,50.00%,1,2,50.00%,4,8,12,1,11,5,0,1,2,2,9
48,德雷蒙德-格林,15-16,胜,黄蜂101-111勇士,1,37,62.50%,5,8,50.00%,1,2,100.00%,2,2,15,2,13,10,1,2,2,3,13
49,德雷蒙德-格林,15-16,胜,掘金108-111勇士,1,44,62.50%,10,16,55.60%,5,9,66.70%,4,6,17,4,13,14,4,1,3,4,29
50,德雷蒙德-格林,15-16,胜,火箭110-114勇士,1,38,42.90%,3,7,50.00%,1,2,75.00%,3,4,11,0,11,16,2,2,2,1,10
51,德雷蒙德-格林,15-16,负,小牛114-91勇士,1,31,26.70%,4,15,25.00%,1,4,50.00%,2,4,9,2,7,4,2,0,2,3,11
52,德雷蒙德-格林,15-16,胜,国王103-122勇士,1,31,50.00%,7,14,71.40%,5,7,75.00%,6,8,8,3,5,4,2,0,6,2,25
53,德雷蒙德-格林,15-16,胜,骑士83-89勇士,1,39,47.10%,8,17,66.70%,2,3,57.10%,4,7,15,1,14,7,0,2,4,2,22
54,德雷蒙德-格林,15-16,胜,爵士85-103勇士,1,38,46.70%,7,15,25.00%,1,4,,0,0,9,2,7,6,1,2,3,1,15
55,德雷蒙德-格林,15-16,胜,雄鹿112-121勇士,1,40,46.70%,7,15,66.70%,2,3,62.50%,5,8,9,2,7,8,1,0,2,4,21
56,德雷蒙德-格林,15-16,胜,太阳103-128勇士,1,31,35.70%,5,14,66.70%,2,3,100.00%,4,4,11,4,7,10,5,1,2,1,16
57,德雷蒙德-格林,15-16,负,雄鹿108-95勇士,1,36,64.30%,9,14,50.00%,1,2,83.30%,5,6,11,3,8,5,1,1,6,4,24
58,德雷蒙德-格林,15-16,胜,凯尔特119-124勇士,1,50,40.00%,8,20,22.20%,2,9,66.70%,6,9,11,1,10,8,5,5,2,5,24
59,德雷蒙德-格林,15-16,胜,步行者123-131勇士,1,36,30.80%,4,13,0.00%,0,2,,0,0,9,1,8,4,1,1,4,4,8
60,德雷蒙德-格林,15-16,胜,篮网98-114勇士,1,34,70.00%,7,10,100.00%,2,2,66.70%,6,9,9,1,8,7,1,0,1,1,22
61,德雷蒙德-格林,15-16,胜,猛龙109-112勇士,1,39,41.70%,5,12,0.00%,0,2,66.70%,6,9,9,0,9,6,0,1,1,4,16
62,德雷蒙德-格林,15-16,胜,黄蜂99-116勇士,1,31,22.20%,2,9,0.00%,0,4,0.00%,0,2,11,0,11,9,0,3,5,2,4
63,德雷蒙德-格林,15-16,胜,爵士103-106勇士,1,38,38.10%,8,21,0.00%,0,4,57.10%,4,7,12,7,5,8,0,0,5,2,20
64,德雷蒙德-格林,15-16,胜,国王101-120勇士,1,36,30.80%,4,13,0.00%,0,4,71.40%,5,7,11,2,9,12,1,4,3,4,13
65,德雷蒙德-格林,15-16,胜,太阳116-135勇士,1,33,100.00%,4,4,100.00%,2,2,66.70%,4,6,10,2,8,10,1,2,4,4,14
66,德雷蒙德-格林,15-16,胜,湖人77-111勇士,1,30,63.60%,7,11,40.00%,2,5,100.00%,2,2,7,2,5,5,1,2,2,0,18
67,德雷蒙德-格林,15-16,胜,掘金105-118勇士,1,31,71.40%,5,7,60.00%,3,5,,0,0,7,2,5,4,0,1,4,5,13
68,德雷蒙德-格林,15-16,胜,公牛94-106勇士,1,35,37.50%,3,8,0.00%,0,2,75.00%,3,4,9,1,8,5,0,0,3,0,9
69,德雷蒙德-格林,15-16,胜,快船117-124勇士,1,30,77.80%,7,9,100.00%,3,3,100.00%,2,2,6,0,6,9,1,1,3,4,19
70,德雷蒙德-格林,15-16,胜,猛龙110-115勇士,1,35,50.00%,3,6,25.00%,1,4,100.00%,2,2,9,0,9,5,1,1,3,4,9
71,德雷蒙德-格林,15-16,胜,篮网99-107勇士,1,42,38.90%,7,18,28.60%,2,7,,0,0,10,2,8,12,2,4,4,4,16
72,德雷蒙德-格林,15-16,胜,森林狼116-129勇士,1,35,80.00%,8,10,66.70%,2,3,100.00%,5,5,8,0,8,12,2,2,2,3,23
73,德雷蒙德-格林,15-16,胜,灰熊84-100勇士,1,28,42.90%,3,7,25.00%,1,4,,0,0,6,1,5,4,0,2,3,6,7
74,德雷蒙德-格林,15-16,胜,活塞95-109勇士,1,33,30.00%,3,10,0.00%,0,1,,0,0,10,2,8,9,4,2,1,0,6
