id,球员,赛季,果,比赛,首发,时间,投篮,命中,出手,三分,命中,出手,罚球,命中,出手,篮板,前场,后场,助攻,抢断,盖帽,失误,犯规,得分
1,布雷克-格里芬,14-15,胜,太阳101-112快船,1,29,57.10%,8,14,,0,0,100.00%,4,4,8,0,8,5,2,0,1,2,20
2,布雷克-格里芬,14-15,胜,掘金103-110快船,1,40,38.90%,7,18,,0,0,88.90%,8,9,9,2,7,8,0,2,2,2,22
3,布雷克-格里芬,14-15,胜,灰熊86-94快船,1,38,28.60%,6,21,0.00%,0,1,100.00%,6,6,8,3,5,6,2,1,5,3,18
4,布雷克-格里芬,14-15,胜,湖人100-105快船,1,36,55.00%,11,20,,0,0,62.50%,5,8,7,1,6,6,0,1,3,2,27
5,布雷克-格里芬,14-15,胜,湖人78-106快船,1,31,57.10%,8,14,,0,0,100.00%,2,2,5,1,4,5,0,0,0,1,18
6,布雷克-格里芬,14-15,胜,掘金92-107快船,1,25,50.00%,6,12,,0,0,0.00%,0,5,4,2,2,7,1,0,3,5,12
7,布雷克-格里芬,14-15,胜,开拓者122-126快船,1,38,55.60%,10,18,100.00%,2,2,100.00%,2,2,7,1,6,8,1,1,4,3,24
8,布雷克-格里芬,14-15,负,勇士110-106快船,1,43,64.00%,16,25,,0,0,100.00%,8,8,12,2,10,5,1,3,3,4,40
9,布雷克-格里芬,14-15,胜,凯尔特106-119快船,1,33,50.00%,7,14,,0,0,77.80%,7,9,9,3,6,5,1,1,0,2,21
10,布雷克-格里芬,14-15,胜,76人98-119快船,1,29,62.50%,5,8,,0,0,,0,0,5,1,4,8,0,0,1,3,10
11,布雷克-格里芬,14-15,胜,尼克斯80-111快船,1,27,37.50%,3,8,0.00%,0,1,72.70%,8,11,6,0,6,3,1,0,2,2,14
12,布雷克-格里芬,14-15,胜,鹈鹕100-107快船,1,37,47.60%,10,21,,0,0,100.00%,3,3,5,3,2,4,1,1,0,3,23
13,布雷克-格里芬,14-15,胜,奇才99-113快船,1,36,52.60%,10,19,,0,0,28.60%,2,7,6,1,5,5,1,1,4,4,22
14,布雷克-格里芬,14-15,胜,国王105-116快船,1,36,43.80%,7,16,,0,0,83.30%,5,6,10,3,7,5,0,2,4,3,19
15,布雷克-格里芬,14-15,胜,黄蜂92-99快船,1,36,66.70%,8,12,,0,0,100.00%,3,3,11,1,10,4,3,0,2,1,19
16,布雷克-格里芬,14-15,负,火箭100-98快船,1,41,40.00%,4,10,,0,0,100.00%,3,3,11,2,9,8,2,1,5,5,11
17,布雷克-格里芬,14-15,负,猛龙123-107快船,1,36,60.00%,9,15,,0,0,88.90%,8,9,6,2,4,9,1,1,1,1,26
18,布雷克-格里芬,14-15,负,骑士105-94快船,1,27,41.20%,7,17,,0,0,66.70%,2,3,8,3,5,4,0,0,1,3,16
19,布雷克-格里芬,14-15,负,篮网102-100快船,1,35,60.00%,6,10,,0,0,25.00%,1,4,6,1,5,7,1,0,2,6,13
20,布雷克-格里芬,14-15,胜,马刺85-105快船,1,35,57.10%,12,21,,0,0,100.00%,7,7,13,1,12,5,0,1,2,1,31
21,布雷克-格里芬,14-15,负,鹈鹕108-103快船,1,37,50.00%,7,14,,0,0,83.30%,5,6,4,2,2,6,1,0,0,4,19
22,布雷克-格里芬,14-15,胜,爵士89-94快船,1,38,41.20%,7,17,0.00%,0,1,50.00%,3,6,7,3,4,3,1,1,3,3,17
23,布雷克-格里芬,14-15,胜,掘金98-102快船,1,34,35.30%,6,17,,0,0,50.00%,2,4,9,2,7,10,1,1,2,1,14
24,布雷克-格里芬,14-15,胜,太阳100-120快船,1,36,57.90%,11,19,,0,0,25.00%,1,4,7,3,4,7,1,0,1,2,23
25,布雷克-格里芬,14-15,胜,篮网84-123快船,1,25,78.60%,11,14,,0,0,66.70%,2,3,6,1,5,3,2,0,3,4,24
26,布雷克-格里芬,14-15,胜,凯尔特93-102快船,1,35,50.00%,9,18,0.00%,0,1,100.00%,4,4,9,2,7,6,1,0,0,2,22
27,布雷克-格里芬,14-15,胜,国王108-117快船,1,37,68.80%,11,16,,0,0,72.70%,8,11,5,1,4,5,1,0,1,2,30
28,布雷克-格里芬,14-15,负,骑士126-121快船,1,41,60.90%,14,23,,0,0,85.70%,6,7,10,4,6,3,1,0,0,6,34
29,布雷克-格里芬,14-15,胜,开拓者94-100快船,1,39,35.00%,7,20,,0,0,100.00%,4,4,3,1,2,4,3,0,3,2,18
30,布雷克-格里芬,14-15,负,热火104-90快船,1,39,52.60%,10,19,33.30%,1,3,71.40%,5,7,6,3,3,3,0,0,2,4,26
31,布雷克-格里芬,14-15,胜,小牛100-120快船,1,35,73.30%,11,15,,0,0,0.00%,0,2,7,1,6,6,2,0,2,3,22
32,布雷克-格里芬,14-15,胜,湖人89-114快船,1,31,69.20%,9,13,,0,0,69.20%,9,13,9,1,8,8,3,0,0,1,27
33,布雷克-格里芬,14-15,负,老鹰107-98快船,1,40,35.30%,6,17,,0,0,77.80%,14,18,10,3,7,6,0,0,5,5,26
34,布雷克-格里芬,14-15,胜,76人91-127快船,1,30,53.80%,7,13,0.00%,0,1,100.00%,1,1,2,0,2,3,1,0,3,1,15
35,布雷克-格里芬,14-15,胜,尼克斯78-99快船,1,35,37.50%,6,16,,0,0,33.30%,1,3,7,0,7,11,0,0,0,1,13
36,布雷克-格里芬,14-15,胜,爵士97-101快船,1,41,50.00%,10,20,,0,0,66.70%,4,6,6,0,6,7,2,3,6,4,24
37,布雷克-格里芬,14-15,负,猛龙110-98快船,1,38,45.00%,9,20,,0,0,80.00%,4,5,6,1,5,5,1,2,4,4,22
38,布雷克-格里芬,14-15,胜,勇士86-100快船,1,39,31.30%,5,16,0.00%,0,1,61.50%,8,13,15,3,12,6,2,1,5,4,18
39,布雷克-格里芬,14-15,负,老鹰107-104快船,1,36,52.90%,9,17,0.00%,0,1,75.00%,3,4,8,1,7,11,1,1,2,3,21
40,布雷克-格里芬,14-15,负,马刺125-118快船,1,38,50.00%,10,20,,0,0,50.00%,2,4,6,0,6,6,1,1,4,3,22
