id,球员,赛季,果,比赛,首发,时间,投篮,命中,出手,三分,命中,出手,罚球,命中,出手,篮板,前场,后场,助攻,抢断,盖帽,失误,犯规,得分
1,詹姆斯-哈登,11-12,负,湖人114-106雷霆,0,13,71.40%,5,7,50.00%,1,2,100.00%,3,3,0,0,0,3,1,0,2,1,14
2,詹姆斯-哈登,11-12,胜,国王92-103雷霆,0,32,50.00%,6,12,33.30%,2,6,100.00%,6,6,6,0,6,3,3,0,1,0,20
3,詹姆斯-哈登,11-12,胜,太阳97-109雷霆,0,36,70.60%,12,17,62.50%,5,8,100.00%,11,11,7,1,6,3,4,0,3,2,40
4,詹姆斯-哈登,11-12,负,快船92-77雷霆,0,30,40.00%,4,10,50.00%,3,6,50.00%,1,2,3,0,3,3,0,0,2,2,12
5,詹姆斯-哈登,11-12,胜,森林狼110-115雷霆,0,31,9.10%,1,11,0.00%,0,8,100.00%,4,4,4,0,4,3,1,0,1,4,6
6,詹姆斯-哈登,11-12,负,快船100-98雷霆,0,31,50.00%,4,8,50.00%,3,6,85.70%,6,7,5,0,5,2,1,1,1,2,17
7,詹姆斯-哈登,11-12,胜,雄鹿89-109雷霆,0,23,57.10%,4,7,66.70%,2,3,85.70%,6,7,5,1,4,1,0,0,3,2,16
8,詹姆斯-哈登,11-12,胜,猛龙75-91雷霆,0,28,50.00%,5,10,33.30%,2,6,83.30%,5,6,3,0,3,4,0,0,2,0,17
9,詹姆斯-哈登,11-12,负,步行者103-98雷霆,0,35,20.00%,1,5,33.30%,1,3,87.50%,7,8,1,0,1,4,0,0,5,3,10
10,詹姆斯-哈登,11-12,负,热火98-93雷霆,0,34,45.50%,5,11,100.00%,1,1,100.00%,1,1,5,2,3,5,3,0,1,1,12
11,詹姆斯-哈登,11-12,负,灰熊94-88雷霆,0,32,55.60%,5,9,20.00%,1,5,60.00%,3,5,5,0,5,5,2,1,0,4,14
12,詹姆斯-哈登,11-12,胜,公牛78-92雷霆,0,23,42.90%,3,7,33.30%,1,3,100.00%,4,4,1,0,1,2,0,0,4,0,11
13,詹姆斯-哈登,11-12,胜,湖人93-102雷霆,0,30,27.30%,3,11,66.70%,2,3,25.00%,1,4,2,1,1,4,1,0,1,5,9
14,詹姆斯-哈登,11-12,胜,开拓者95-109雷霆,0,28,85.70%,6,7,100.00%,2,2,100.00%,7,7,3,0,3,5,0,0,1,1,21
15,詹姆斯-哈登,11-12,胜,热火87-103雷霆,0,32,85.70%,6,7,100.00%,1,1,85.70%,6,7,3,0,3,6,2,0,7,1,19
16,詹姆斯-哈登,11-12,胜,森林狼140-149雷霆,0,43,58.80%,10,17,37.50%,3,8,100.00%,2,2,6,1,5,6,1,0,0,4,25
17,詹姆斯-哈登,11-12,胜,快船91-114雷霆,0,29,37.50%,3,8,33.30%,2,6,100.00%,2,2,6,0,6,5,1,0,2,3,10
18,詹姆斯-哈登,11-12,负,爵士97-90雷霆,0,33,45.50%,5,11,50.00%,3,6,66.70%,4,6,4,3,1,2,0,0,4,4,17
19,詹姆斯-哈登,11-12,胜,开拓者95-111雷霆,0,33,14.30%,1,7,25.00%,1,4,78.60%,11,14,4,0,4,7,1,0,2,5,14
20,詹姆斯-哈登,11-12,负,马刺114-105雷霆,0,33,72.70%,8,11,75.00%,3,4,0.00%,0,1,7,1,6,5,1,0,5,2,19
21,詹姆斯-哈登,11-12,胜,掘金90-103雷霆,0,34,54.50%,6,11,66.70%,4,6,100.00%,2,2,2,0,2,4,1,1,4,2,18
22,詹姆斯-哈登,11-12,负,火箭104-103雷霆,0,32,41.70%,5,12,33.30%,2,6,80.00%,4,5,4,0,4,7,1,0,4,1,16
23,詹姆斯-哈登,11-12,胜,山猫95-122雷霆,0,29,68.80%,11,16,44.40%,4,9,70.00%,7,10,0,0,0,3,1,1,2,3,33
24,詹姆斯-哈登,11-12,负,骑士96-90雷霆,0,33,50.00%,5,10,40.00%,2,5,75.00%,3,4,6,0,6,1,0,0,4,2,15
25,詹姆斯-哈登,11-12,胜,太阳104-115雷霆,0,36,66.70%,8,12,57.10%,4,7,90.90%,10,11,4,0,4,1,2,2,1,3,30
26,詹姆斯-哈登,11-12,胜,小牛91-95雷霆,0,34,36.40%,4,11,16.70%,1,6,100.00%,7,7,2,0,2,4,0,0,0,2,16
27,詹姆斯-哈登,11-12,负,老鹰97-90雷霆,0,27,50.00%,4,8,0.00%,0,3,100.00%,2,2,6,1,5,2,2,0,2,1,10
28,詹姆斯-哈登,11-12,胜,魔术102-105雷霆,0,33,62.50%,5,8,0.00%,0,3,75.00%,3,4,5,2,3,5,0,0,1,2,13
29,詹姆斯-哈登,11-12,胜,76人88-92雷霆,0,32,44.40%,4,9,33.30%,1,3,63.60%,7,11,8,1,7,4,1,0,3,2,16
30,詹姆斯-哈登,11-12,胜,湖人85-100雷霆,0,32,60.00%,6,10,33.30%,1,3,100.00%,3,3,4,1,3,3,1,2,5,3,16
31,詹姆斯-哈登,11-12,胜,凯尔特104-119雷霆,0,34,60.00%,6,10,50.00%,1,2,66.70%,4,6,4,0,4,7,2,0,2,4,17
32,詹姆斯-哈登,11-12,胜,掘金118-124雷霆,0,39,16.70%,2,12,14.30%,1,7,83.30%,5,6,4,0,4,6,1,0,1,4,10
33,詹姆斯-哈登,11-12,胜,勇士87-110雷霆,0,30,61.50%,8,13,57.10%,4,7,100.00%,5,5,4,0,4,2,1,0,2,1,25
34,詹姆斯-哈登,11-12,负,火箭96-95雷霆,0,32,46.20%,6,13,37.50%,3,8,66.70%,2,3,4,0,4,4,2,0,5,3,17
35,詹姆斯-哈登,11-12,胜,爵士85-111雷霆,0,30,66.70%,6,9,60.00%,3,5,87.50%,7,8,4,0,4,5,0,0,3,1,22
36,詹姆斯-哈登,11-12,胜,爵士87-101雷霆,0,35,25.00%,2,8,50.00%,1,2,75.00%,6,8,5,0,5,2,2,0,3,4,11
37,詹姆斯-哈登,11-12,负,国王106-101雷霆,0,34,45.50%,5,11,33.30%,1,3,85.70%,6,7,5,1,4,3,1,1,4,3,17
38,詹姆斯-哈登,11-12,胜,勇士116-119雷霆,0,36,46.20%,6,13,37.50%,3,8,100.00%,4,4,1,0,1,7,4,0,0,3,19
39,詹姆斯-哈登,11-12,胜,开拓者107-111雷霆,0,41,50.00%,6,12,20.00%,1,5,100.00%,6,6,4,1,3,1,0,1,5,2,19
40,詹姆斯-哈登,11-12,负,马刺107-96雷霆,0,30,50.00%,5,10,0.00%,0,3,90.00%,9,10,5,0,5,4,1,0,1,2,19
41,詹姆斯-哈登,11-12,胜,灰熊94-101雷霆,0,34,61.50%,8,13,66.70%,4,6,100.00%,4,4,2,0,2,1,2,1,1,1,24
