id,球员,赛季,果,比赛,首发,时间,投篮,命中,出手,三分,命中,出手,罚球,命中,出手,篮板,前场,后场,助攻,抢断,盖帽,失误,犯规,得分
1,凯里-欧文,14-15,胜,奇才108-113骑士,1,18,44.40%,4,9,33.30%,1,3,,0,0,2,0,2,7,1,0,2,0,9
2,凯里-欧文,14-15,胜,活塞97-109骑士,1,17,71.40%,5,7,66.70%,2,3,,0,0,3,2,1,3,1,0,0,1,12
3,凯里-欧文,14-15,胜,雄鹿99-104骑士,1,41,53.80%,7,13,50.00%,4,8,81.80%,9,11,4,3,1,9,3,0,6,3,27
4,凯里-欧文,14-15,胜,公牛94-99骑士,1,37,42.10%,8,19,80.00%,4,5,87.50%,7,8,5,2,3,4,3,1,5,2,27
5,凯里-欧文,14-15,胜,热火88-114骑士,1,36,47.10%,8,17,42.90%,3,7,100.00%,4,4,1,0,1,5,4,0,4,2,23
6,凯里-欧文,14-15,胜,76人86-87骑士,1,38,38.90%,7,18,50.00%,1,2,66.70%,2,3,3,0,3,4,2,0,5,1,17
7,凯里-欧文,14-15,负,篮网106-98骑士,1,38,45.50%,10,22,20.00%,1,5,100.00%,5,5,2,0,2,3,1,2,1,1,26
8,凯里-欧文,14-15,胜,灰熊89-111骑士,1,35,42.90%,9,21,28.60%,2,7,80.00%,4,5,3,1,2,2,2,0,5,3,24
9,凯里-欧文,14-15,胜,雄鹿90-108骑士,1,31,47.40%,9,19,20.00%,1,5,100.00%,1,1,3,0,3,7,2,0,3,1,20
10,凯里-欧文,14-15,胜,步行者92-95骑士,1,33,25.00%,4,16,25.00%,1,4,100.00%,4,4,4,3,1,3,0,0,1,4,13
11,凯里-欧文,14-15,胜,篮网92-117骑士,1,30,50.00%,5,10,100.00%,1,1,50.00%,1,2,5,1,4,10,0,0,1,2,12
12,凯里-欧文,14-15,负,热火106-92骑士,1,34,33.30%,5,15,28.60%,2,7,81.80%,9,11,2,0,2,6,0,1,2,2,21
13,凯里-欧文,14-15,胜,魔术108-123骑士,1,35,80.00%,12,15,83.30%,5,6,66.70%,4,6,4,0,4,4,1,0,5,3,33
14,凯里-欧文,14-15,胜,马刺125-128骑士,1,47,62.50%,20,32,100.00%,7,7,100.00%,10,10,3,1,2,5,4,0,2,3,57
15,凯里-欧文,14-15,胜,小牛94-127骑士,1,35,46.20%,6,13,50.00%,1,2,90.00%,9,10,5,1,4,5,2,0,3,1,22
16,凯里-欧文,14-15,胜,太阳79-89骑士,1,26,27.30%,3,11,,0,0,100.00%,2,2,1,0,1,3,1,0,1,3,8
17,凯里-欧文,14-15,负,老鹰106-97骑士,1,42,43.80%,7,16,0.00%,0,5,85.70%,6,7,1,0,1,4,2,0,5,0,20
18,凯里-欧文,14-15,胜,猛龙112-120骑士,1,41,52.90%,9,17,20.00%,1,5,100.00%,7,7,2,0,2,8,0,0,2,0,26
19,凯里-欧文,14-15,胜,凯尔特79-110骑士,1,26,60.00%,6,10,50.00%,2,4,100.00%,4,4,2,0,2,5,2,0,2,2,18
20,凯里-欧文,14-15,胜,勇士99-110骑士,1,38,35.30%,6,17,25.00%,2,8,100.00%,10,10,3,1,2,1,2,0,2,1,24
21,凯里-欧文,14-15,胜,活塞93-102骑士,1,34,37.50%,6,16,0.00%,0,3,100.00%,6,6,2,0,2,5,1,0,3,4,18
22,凯里-欧文,14-15,胜,尼克斯83-101骑士,1,27,60.00%,6,10,50.00%,2,4,100.00%,4,4,2,1,1,2,1,0,2,1,18
23,凯里-欧文,14-15,胜,奇才89-127骑士,1,31,50.00%,9,18,25.00%,1,4,100.00%,6,6,2,0,2,7,0,0,4,0,25
24,凯里-欧文,14-15,负,公牛113-98骑士,1,38,33.30%,6,18,33.30%,1,3,66.70%,4,6,6,3,3,7,1,1,1,1,17
25,凯里-欧文,14-15,胜,热火93-113骑士,1,38,35.70%,5,14,60.00%,3,5,100.00%,2,2,4,2,2,6,2,0,3,2,15
26,凯里-欧文,14-15,胜,湖人105-120骑士,1,32,71.40%,10,14,62.50%,5,8,75.00%,3,4,4,0,4,10,1,0,1,4,28
27,凯里-欧文,14-15,负,步行者103-99骑士,1,39,50.00%,13,26,33.30%,3,9,,0,0,4,3,1,5,1,0,2,5,29
28,凯里-欧文,14-15,胜,快船94-105骑士,1,32,20.00%,1,5,33.30%,1,3,100.00%,7,7,6,2,4,4,0,0,1,3,10
29,凯里-欧文,14-15,胜,76人84-97骑士,1,39,56.30%,9,16,37.50%,3,8,75.00%,3,4,5,1,4,5,0,0,5,1,24
30,凯里-欧文,14-15,胜,森林狼90-106骑士,1,33,25.00%,4,16,25.00%,2,8,66.70%,2,3,4,1,3,4,2,0,3,2,12
31,凯里-欧文,14-15,胜,国王90-101骑士,1,32,61.50%,8,13,50.00%,3,6,50.00%,2,4,3,0,3,6,0,0,3,0,21
32,凯里-欧文,14-15,胜,开拓者94-99骑士,1,39,47.20%,17,36,57.90%,11,19,100.00%,10,10,4,2,2,5,2,0,3,0,55
33,凯里-欧文,14-15,胜,活塞95-103骑士,1,42,56.50%,13,23,60.00%,6,10,100.00%,6,6,3,1,2,6,3,1,3,2,38
34,凯里-欧文,14-15,胜,雷霆98-108骑士,1,41,42.90%,9,21,42.90%,3,7,,0,0,2,0,2,6,2,0,2,2,21
