id,球员,赛季,果,比赛,首发,时间,投篮,命中,出手,三分,命中,出手,罚球,命中,出手,篮板,前场,后场,助攻,抢断,盖帽,失误,犯规,得分
1,德安德鲁-乔丹,11-12,负,尼克斯99-93快船,1,29,50.00%,2,4,,0,0,50.00%,1,2,10,2,8,0,0,0,0,1,5
2,德安德鲁-乔丹,11-12,负,老鹰109-102快船,1,32,66.70%,2,3,,0,0,0.00%,0,2,9,2,7,0,1,2,1,1,4
3,德安德鲁-乔丹,11-12,胜,黄蜂98-107快船,1,23,100.00%,1,1,,0,0,,0,0,3,0,3,1,0,3,1,5,2
4,德安德鲁-乔丹,11-12,负,太阳93-90快船,1,23,75.00%,3,4,,0,0,,0,0,5,2,3,0,2,1,2,1,6
5,德安德鲁-乔丹,11-12,胜,掘金98-104快船,1,30,100.00%,2,2,,0,0,,0,0,9,2,7,0,0,3,2,2,4
6,德安德鲁-乔丹,11-12,胜,雷霆77-92快船,1,25,33.30%,2,6,,0,0,50.00%,1,2,12,4,8,0,0,1,1,3,5
7,德安德鲁-乔丹,11-12,胜,勇士104-112快船,1,24,72.70%,8,11,,0,0,40.00%,2,5,6,4,2,0,0,2,0,2,18
8,德安德鲁-乔丹,11-12,胜,森林狼82-95快船,1,23,50.00%,2,4,,0,0,,0,0,12,5,7,1,0,3,0,3,4
9,德安德鲁-乔丹,11-12,胜,雷霆98-100快船,1,26,75.00%,3,4,,0,0,100.00%,2,2,4,3,1,0,0,0,2,3,8
10,德安德鲁-乔丹,11-12,负,灰熊94-85快船,1,35,50.00%,6,12,,0,0,100.00%,2,2,14,10,4,0,0,2,2,4,14
11,德安德鲁-乔丹,11-12,胜,国王94-109快船,1,14,0.00%,0,1,,0,0,,0,0,2,0,2,0,0,1,2,3,0
12,德安德鲁-乔丹,11-12,胜,国王85-93快船,1,21,66.70%,2,3,,0,0,,0,0,4,1,3,1,1,1,1,2,4
13,德安德鲁-乔丹,11-12,负,湖人113-108快船,1,40,71.40%,5,7,,0,0,25.00%,1,4,13,4,9,0,1,4,0,3,11
14,德安德鲁-乔丹,11-12,胜,小牛75-94快船,1,27,50.00%,2,4,,0,0,,0,0,6,2,4,0,0,0,3,0,4
15,德安德鲁-乔丹,11-12,胜,爵士96-105快船,1,31,100.00%,2,2,,0,0,100.00%,2,2,10,2,8,1,1,1,3,2,6
16,德安德鲁-乔丹,11-12,胜,开拓者97-98快船,1,35,83.30%,5,6,,0,0,50.00%,2,4,6,0,6,0,0,4,2,1,12
17,德安德鲁-乔丹,11-12,胜,太阳86-103快船,1,28,60.00%,3,5,,0,0,87.50%,7,8,6,2,4,0,1,1,4,2,13
18,德安德鲁-乔丹,11-12,胜,黄蜂85-97快船,1,22,50.00%,3,6,,0,0,100.00%,1,1,4,1,3,0,0,1,2,4,7
19,德安德鲁-乔丹,11-12,胜,灰熊85-101快船,1,34,75.00%,3,4,,0,0,,0,0,6,1,5,0,1,1,0,0,6
20,德安德鲁-乔丹,11-12,负,黄蜂97-90快船,1,27,87.50%,7,8,,0,0,,0,0,9,5,4,0,1,0,0,4,14
21,德安德鲁-乔丹,11-12,负,雷霆114-91快船,1,29,66.70%,4,6,,0,0,66.70%,4,6,6,3,3,0,0,0,1,3,12
22,德安德鲁-乔丹,11-12,负,步行者102-89快船,1,21,20.00%,1,5,,0,0,0.00%,0,2,10,6,4,0,0,2,0,5,2
23,德安德鲁-乔丹,11-12,胜,活塞83-87快船,1,26,100.00%,4,4,,0,0,50.00%,1,2,2,1,1,1,0,1,1,4,9
24,德安德鲁-乔丹,11-12,胜,火箭91-95快船,1,28,40.00%,2,5,,0,0,66.70%,2,3,11,4,7,0,0,1,2,2,6
25,德安德鲁-乔丹,11-12,负,太阳91-87快船,1,29,57.10%,4,7,,0,0,75.00%,3,4,9,4,5,0,1,4,0,1,11
26,德安德鲁-乔丹,11-12,胜,老鹰82-96快船,1,22,100.00%,4,4,,0,0,,0,0,6,1,5,0,0,2,1,1,8
27,德安德鲁-乔丹,11-12,负,凯尔特94-85快船,1,23,30.00%,3,10,,0,0,,0,0,13,8,5,0,1,1,0,1,6
28,德安德鲁-乔丹,11-12,负,勇士97-93快船,1,19,50.00%,1,2,,0,0,50.00%,2,4,6,0,6,0,0,1,0,1,4
29,德安德鲁-乔丹,11-12,胜,马刺108-120快船,1,5,0.00%,0,1,,0,0,50.00%,2,4,3,2,1,0,0,0,1,5,2
30,德安德鲁-乔丹,11-12,负,篮网101-100快船,1,18,50.00%,1,2,,0,0,,0,0,2,1,1,0,0,1,0,2,2
31,德安德鲁-乔丹,11-12,负,森林狼95-94快船,1,23,100.00%,2,2,,0,0,,0,0,12,2,10,0,2,2,1,2,4
32,德安德鲁-乔丹,11-12,胜,火箭103-105快船,1,28,80.00%,4,5,,0,0,0.00%,0,1,11,4,7,0,0,1,0,5,8
33,德安德鲁-乔丹,11-12,负,太阳81-78快船,1,16,100.00%,1,1,,0,0,,0,0,6,2,4,0,0,0,0,3,2
34,德安德鲁-乔丹,11-12,胜,国王100-108快船,1,22,33.30%,1,3,,0,0,,0,0,6,3,3,1,0,3,0,4,2
35,德安德鲁-乔丹,11-12,负,森林狼109-97快船,1,36,77.80%,7,9,,0,0,,0,0,14,4,10,0,2,4,0,4,14
36,德安德鲁-乔丹,11-12,胜,掘金95-103快船,1,26,55.60%,5,9,,0,0,0.00%,0,1,16,9,7,0,1,3,3,4,10
37,德安德鲁-乔丹,11-12,负,勇士104-97快船,1,31,33.30%,2,6,,0,0,50.00%,1,2,11,4,7,1,0,1,1,3,5
38,德安德鲁-乔丹,11-12,负,马刺103-100快船,1,27,57.10%,4,7,,0,0,,0,0,8,1,7,0,0,0,2,1,8
39,德安德鲁-乔丹,11-12,胜,开拓者71-74快船,1,20,66.70%,2,3,,0,0,50.00%,1,2,7,3,4,0,1,4,3,4,5
40,德安德鲁-乔丹,11-12,胜,奇才84-102快船,1,23,50.00%,4,8,,0,0,100.00%,3,3,9,5,4,1,0,3,3,4,11
41,德安德鲁-乔丹,11-12,负,小牛96-92快船,1,20,66.70%,2,3,,0,0,50.00%,1,2,9,3,6,0,0,2,0,2,5
42,德安德鲁-乔丹,11-12,胜,山猫86-111快船,1,24,83.30%,5,6,,0,0,50.00%,1,2,12,5,7,1,0,2,1,2,11
43,德安德鲁-乔丹,11-12,胜,76人77-78快船,1,21,50.00%,2,4,,0,0,50.00%,1,2,5,3,2,1,0,0,0,4,5
44,德安德鲁-乔丹,11-12,负,骑士99-92快船,1,24,,0,0,,0,0,,0,0,4,2,2,0,0,2,1,2,0
45,德安德鲁-乔丹,11-12,胜,魔术102-107快船,1,32,50.00%,4,8,,0,0,0.00%,0,1,8,4,4,2,1,0,1,6,8
46,德安德鲁-乔丹,11-12,胜,奇才81-107快船,1,33,81.80%,9,11,,0,0,,0,0,11,7,4,0,0,3,2,2,18
47,德安德鲁-乔丹,11-12,负,掘金112-91快船,1,27,50.00%,1,2,,0,0,0.00%,0,2,9,4,5,1,0,5,1,3,2
48,德安德鲁-乔丹,11-12,胜,爵士105-107快船,1,31,75.00%,3,4,,0,0,100.00%,2,2,11,3,8,0,0,0,1,4,8
49,德安德鲁-乔丹,11-12,胜,雷霆100-112快船,1,31,71.40%,5,7,,0,0,33.30%,1,3,11,2,9,1,0,3,1,4,11
50,德安德鲁-乔丹,11-12,胜,掘金105-109快船,1,35,42.90%,3,7,,0,0,50.00%,2,4,13,4,9,0,0,5,0,3,8
51,德安德鲁-乔丹,11-12,胜,灰熊91-98快船,1,35,80.00%,4,5,,0,0,25.00%,1,4,9,3,6,0,0,3,1,5,9
