id,球员,赛季,果,比赛,首发,时间,投篮,命中,出手,三分,命中,出手,罚球,命中,出手,篮板,前场,后场,助攻,抢断,盖帽,失误,犯规,得分
1,科怀-伦纳德,15-16,胜,雷霆98-102马刺,1,39,50.00%,10,20,20.00%,1,5,62.50%,5,8,5,1,4,5,2,2,3,3,26
2,科怀-伦纳德,15-16,负,勇士92-86马刺,1,39,31.80%,7,22,0.00%,0,3,85.70%,6,7,13,6,7,5,2,3,0,3,20
3,科怀-伦纳德,15-16,负,勇士112-101马刺,1,35,66.70%,8,12,66.70%,2,3,62.50%,5,8,3,1,2,2,1,0,2,0,23
4,科怀-伦纳德,15-16,胜,爵士86-88马刺,1,38,35.70%,5,14,0.00%,0,4,88.90%,8,9,8,1,7,0,1,2,2,3,18
5,科怀-伦纳德,15-16,胜,猛龙95-102马刺,1,40,58.80%,10,17,40.00%,2,5,100.00%,11,11,6,0,6,7,3,1,2,5,33
6,科怀-伦纳德,15-16,胜,鹈鹕92-100马刺,1,22,44.40%,4,9,20.00%,1,5,100.00%,7,7,6,0,6,4,3,2,0,1,16
7,科怀-伦纳德,15-16,胜,热火88-112马刺,1,24,57.10%,12,21,42.90%,3,7,71.40%,5,7,8,2,6,0,1,1,1,1,32
8,科怀-伦纳德,15-16,负,黄蜂91-88马刺,1,31,42.90%,6,14,25.00%,1,4,100.00%,2,2,6,0,6,0,2,0,1,3,15
9,科怀-伦纳德,15-16,胜,勇士79-87马刺,1,39,35.70%,5,14,33.30%,1,3,87.50%,7,8,14,6,8,4,0,2,4,4,18
10,科怀-伦纳德,15-16,胜,开拓者110-118马刺,1,31,72.70%,8,11,100.00%,4,4,100.00%,2,2,2,0,2,1,0,3,0,1,22
11,科怀-伦纳德,15-16,胜,快船87-108马刺,1,34,60.00%,9,15,0.00%,0,3,100.00%,2,2,5,0,5,4,3,0,3,2,20
12,科怀-伦纳德,15-16,胜,雷霆85-93马刺,1,38,41.70%,10,24,16.70%,1,6,100.00%,5,5,7,2,5,3,3,1,2,1,26
13,科怀-伦纳德,15-16,胜,公牛101-109马刺,1,39,66.70%,10,15,80.00%,4,5,100.00%,5,5,7,1,6,2,2,2,1,1,29
14,科怀-伦纳德,15-16,胜,森林狼91-116马刺,1,25,50.00%,6,12,0.00%,0,1,100.00%,3,3,5,1,4,2,1,0,0,1,15
15,科怀-伦纳德,15-16,负,步行者99-91马刺,1,40,39.10%,9,23,14.30%,1,7,66.70%,4,6,6,3,3,2,0,1,1,3,23
16,科怀-伦纳德,15-16,胜,国王94-104马刺,1,36,37.50%,9,24,20.00%,1,5,85.70%,6,7,13,5,8,6,1,1,4,1,25
17,科怀-伦纳德,15-16,胜,鹈鹕86-94马刺,1,39,54.50%,12,22,60.00%,6,10,,0,0,11,1,10,3,2,2,2,1,30
18,科怀-伦纳德,15-16,胜,活塞81-97马刺,1,36,59.10%,13,22,16.70%,1,6,,0,0,6,0,6,5,2,0,0,3,27
19,科怀-伦纳德,15-16,胜,火箭94-104马刺,1,39,61.50%,8,13,75.00%,3,4,88.90%,8,9,8,0,8,1,1,1,2,3,27
20,科怀-伦纳德,15-16,胜,爵士78-96马刺,1,35,66.70%,10,15,60.00%,3,5,100.00%,6,6,5,0,5,3,3,0,0,2,29
21,科怀-伦纳德,15-16,胜,国王92-108马刺,1,28,31.30%,5,16,40.00%,2,5,100.00%,6,6,8,1,7,1,4,1,1,2,18
22,科怀-伦纳德,15-16,胜,魔术96-98马刺,1,33,63.20%,12,19,100.00%,3,3,100.00%,2,2,7,1,6,2,2,1,2,2,29
23,科怀-伦纳德,15-16,胜,热火101-119马刺,1,33,64.70%,11,17,100.00%,1,1,,0,0,9,2,7,4,3,1,3,1,23
24,科怀-伦纳德,15-16,胜,湖人102-106马刺,1,34,30.80%,4,13,0.00%,0,3,80.00%,12,15,13,5,8,3,1,0,1,3,20
25,科怀-伦纳德,15-16,胜,小牛90-116马刺,1,27,56.30%,9,16,50.00%,2,4,100.00%,3,3,2,1,1,1,0,0,2,0,23
26,科怀-伦纳德,15-16,胜,鹈鹕97-110马刺,1,36,64.70%,11,17,50.00%,1,2,75.00%,3,4,5,0,5,1,1,2,2,1,26
27,科怀-伦纳德,15-16,胜,魔术92-107马刺,1,26,36.40%,4,11,28.60%,2,7,,0,0,5,0,5,2,1,2,2,1,10
28,科怀-伦纳德,15-16,负,骑士117-103马刺,1,35,46.70%,7,15,42.90%,3,7,87.50%,7,8,6,1,5,2,0,0,2,2,24
29,科怀-伦纳德,15-16,胜,火箭99-130马刺,1,28,58.30%,7,12,75.00%,3,4,50.00%,1,2,1,0,1,1,1,1,1,1,18
30,科怀-伦纳德,15-16,负,勇士120-90马刺,1,25,66.70%,4,6,100.00%,1,1,100.00%,7,7,5,0,5,2,2,0,3,1,16
31,科怀-伦纳德,15-16,胜,湖人95-108马刺,1,29,45.50%,5,11,25.00%,1,4,87.50%,7,8,4,1,3,2,2,3,0,0,18
32,科怀-伦纳德,15-16,胜,太阳89-117马刺,1,22,40.00%,6,15,100.00%,1,1,100.00%,8,8,3,1,2,3,0,0,0,2,21
33,科怀-伦纳德,15-16,胜,小牛83-112马刺,1,29,45.50%,5,11,33.30%,1,3,66.70%,4,6,4,0,4,1,2,0,1,0,15
34,科怀-伦纳德,15-16,胜,骑士95-99马刺,1,40,42.90%,6,14,50.00%,2,4,100.00%,6,6,10,2,8,5,1,2,4,1,20
35,科怀-伦纳德,15-16,胜,活塞99-109马刺,1,34,14.30%,1,7,0.00%,0,2,71.40%,5,7,5,1,4,1,1,1,3,3,7
36,科怀-伦纳德,15-16,胜,篮网79-106马刺,1,30,42.90%,6,14,40.00%,2,5,100.00%,3,3,8,2,6,0,1,0,1,1,17
37,科怀-伦纳德,15-16,胜,尼克斯99-100马刺,1,37,42.10%,8,19,0.00%,0,2,75.00%,3,4,12,4,8,0,2,2,1,1,19
38,科怀-伦纳德,15-16,胜,爵士98-123马刺,1,23,54.50%,6,11,50.00%,2,4,100.00%,1,1,4,0,4,3,2,0,2,0,15
39,科怀-伦纳德,15-16,胜,雄鹿98-123马刺,1,31,75.00%,9,12,60.00%,3,5,100.00%,3,3,2,0,2,1,2,1,4,1,24
40,科怀-伦纳德,15-16,胜,火箭103-121马刺,1,34,66.70%,8,12,100.00%,2,2,80.00%,4,5,6,1,5,2,0,0,3,3,22
41,科怀-伦纳德,15-16,胜,太阳79-112马刺,1,29,60.00%,6,10,75.00%,3,4,100.00%,4,4,0,0,0,2,2,0,0,0,19
42,科怀-伦纳德,15-16,胜,森林狼95-101马刺,1,37,55.60%,5,9,100.00%,1,1,85.70%,6,7,11,0,11,3,1,0,0,5,17
43,科怀-伦纳德,15-16,胜,掘金86-101马刺,1,32,53.80%,7,13,100.00%,2,2,100.00%,4,4,5,2,3,5,2,0,2,1,20
44,科怀-伦纳德,15-16,负,火箭88-84马刺,1,39,42.10%,8,19,40.00%,2,5,100.00%,2,2,8,4,4,4,5,3,1,4,20
45,科怀-伦纳德,15-16,胜,森林狼83-108马刺,1,31,50.00%,8,16,42.90%,3,7,,0,0,6,2,4,2,2,2,1,1,19
46,科怀-伦纳德,15-16,胜,步行者92-106马刺,1,35,52.60%,10,19,16.70%,1,6,100.00%,3,3,6,1,5,5,3,0,0,2,24
47,科怀-伦纳德,15-16,胜,快船107-115马刺,1,36,42.90%,6,14,33.30%,1,3,85.70%,6,7,9,1,8,2,0,0,0,3,19
48,科怀-伦纳德,15-16,胜,奇才95-114马刺,1,38,60.00%,9,15,57.10%,4,7,83.30%,5,6,3,0,3,4,4,0,1,2,27
49,科怀-伦纳德,15-16,胜,爵士81-118马刺,1,25,70.00%,7,10,66.70%,2,3,100.00%,6,6,7,0,7,2,2,0,0,1,22
50,科怀-伦纳德,15-16,胜,老鹰78-103马刺,1,32,53.80%,7,13,33.30%,1,3,100.00%,7,7,8,1,7,4,5,0,2,2,22
51,科怀-伦纳德,15-16,胜,湖人87-109马刺,1,25,50.00%,6,12,0.00%,0,2,100.00%,4,4,11,2,9,2,3,1,0,0,16
52,科怀-伦纳德,15-16,负,猛龙97-94马刺,1,27,37.50%,3,8,50.00%,1,2,0.00%,0,1,6,3,3,2,1,1,2,1,7
53,科怀-伦纳德,15-16,胜,凯尔特105-108马刺,1,34,30.80%,4,13,50.00%,2,4,83.30%,5,6,7,0,7,4,2,0,3,4,15
54,科怀-伦纳德,15-16,胜,灰熊83-103马刺,1,33,69.20%,9,13,77.80%,7,9,100.00%,2,2,8,0,8,3,2,1,1,2,27
55,科怀-伦纳德,15-16,胜,雄鹿70-95马刺,1,25,25.00%,3,12,0.00%,0,1,87.50%,7,8,3,2,1,4,0,0,0,1,13
56,科怀-伦纳德,15-16,负,公牛92-89马刺,1,40,42.90%,9,21,0.00%,0,3,77.80%,7,9,8,3,5,3,2,0,2,4,25
57,科怀-伦纳德,15-16,胜,老鹰88-108马刺,1,29,54.50%,6,11,100.00%,3,3,100.00%,7,7,7,1,6,2,1,1,2,0,22
58,科怀-伦纳德,15-16,胜,掘金80-91马刺,1,32,61.10%,11,18,50.00%,2,4,100.00%,1,1,7,1,6,6,4,5,2,1,25
59,科怀-伦纳德,15-16,胜,小牛83-88马刺,1,40,56.30%,9,16,57.10%,4,7,100.00%,4,4,8,4,4,5,2,0,2,0,26
60,科怀-伦纳德,15-16,胜,太阳84-98马刺,1,37,61.10%,11,18,50.00%,1,2,100.00%,1,1,13,3,10,4,4,1,3,1,24
61,科怀-伦纳德,15-16,胜,灰熊82-92马刺,1,40,33.30%,5,15,50.00%,3,6,75.00%,6,8,7,2,5,3,0,1,0,1,19
62,科怀-伦纳德,15-16,负,鹈鹕104-90马刺,1,37,45.00%,9,20,60.00%,3,5,50.00%,1,2,5,0,5,2,1,1,0,2,22
63,科怀-伦纳德,15-16,胜,掘金98-109马刺,1,37,50.00%,8,16,75.00%,3,4,100.00%,1,1,8,1,7,3,2,1,0,2,20
64,科怀-伦纳德,15-16,胜,开拓者80-93马刺,1,31,53.30%,8,15,60.00%,3,5,0.00%,0,1,9,2,7,3,2,2,0,1,19
65,科怀-伦纳德,15-16,胜,开拓者101-113马刺,1,35,50.00%,7,14,20.00%,1,5,100.00%,5,5,7,0,7,3,1,0,1,3,20
66,科怀-伦纳德,15-16,胜,国王88-106马刺,1,32,76.90%,10,13,75.00%,3,4,50.00%,1,2,3,0,3,2,2,2,0,2,24
67,科怀-伦纳德,15-16,胜,黄蜂94-114马刺,1,34,62.50%,10,16,50.00%,2,4,50.00%,1,2,4,0,4,2,2,0,0,3,23
68,科怀-伦纳德,15-16,负,奇才102-99马刺,1,35,45.50%,10,22,25.00%,1,4,100.00%,2,2,9,3,6,0,1,0,1,4,23
69,科怀-伦纳德,15-16,胜,尼克斯84-94马刺,1,36,50.00%,8,16,25.00%,1,4,100.00%,1,1,14,2,12,1,2,4,2,4,18
70,科怀-伦纳德,15-16,胜,凯尔特87-95马刺,1,34,44.40%,8,18,33.30%,1,3,100.00%,2,2,5,0,5,2,2,1,2,2,19
71,科怀-伦纳德,15-16,胜,篮网75-102马刺,1,26,37.50%,6,16,0.00%,0,2,100.00%,4,4,10,1,9,1,2,1,4,3,16
72,科怀-伦纳德,15-16,负,雷霆112-106马刺,1,35,59.10%,13,22,33.30%,1,3,100.00%,5,5,8,1,7,0,3,2,3,3,32
