id,球员,赛季,果,比赛,首发,时间,投篮,命中,出手,三分,命中,出手,罚球,命中,出手,篮板,前场,后场,助攻,抢断,盖帽,失误,犯规,得分
1,科比-布莱恩特,09-10,负,开拓者91-88湖人,1,40,34.80%,8,23,50.00%,3,6,33.30%,1,3,4,0,4,2,0,0,1,1,20
2,科比-布莱恩特,09-10,负,马刺100-81湖人,1,41,33.30%,8,24,33.30%,2,6,66.70%,4,6,8,3,5,6,0,0,4,3,22
3,科比-布莱恩特,09-10,胜,爵士92-106湖人,1,37,21.70%,5,23,0.00%,0,4,83.30%,15,18,6,3,3,3,1,0,2,5,25
4,科比-布莱恩特,09-10,负,老鹰109-92湖人,1,42,57.10%,12,21,66.70%,2,3,33.30%,2,6,3,0,3,4,0,0,2,2,28
5,科比-布莱恩特,09-10,负,黄蜂108-100湖人,1,41,55.60%,10,18,40.00%,2,5,81.80%,9,11,5,2,3,6,1,0,3,5,31
6,科比-布莱恩特,09-10,胜,火箭101-109湖人,1,36,50.00%,7,14,50.00%,1,2,66.70%,2,3,9,1,8,9,1,0,5,2,17
7,科比-布莱恩特,09-10,负,雷霆91-75湖人,1,30,36.40%,4,11,0.00%,0,2,100.00%,3,3,6,1,5,3,1,0,9,4,11
8,科比-布莱恩特,09-10,胜,马刺83-92湖人,1,42,68.80%,11,16,100.00%,2,2,,0,0,4,1,3,6,0,0,3,1,24
9,科比-布莱恩特,09-10,胜,奇才92-99湖人,1,40,58.80%,10,17,57.10%,4,7,,0,0,3,0,3,4,0,0,3,2,24
10,科比-布莱恩特,09-10,胜,森林狼96-104湖人,1,34,36.40%,4,11,20.00%,1,5,92.90%,13,14,4,0,4,13,4,0,5,3,22
11,科比-布莱恩特,09-10,胜,国王99-106湖人,1,41,38.50%,10,26,40.00%,2,5,57.10%,8,14,9,3,6,7,0,0,3,2,30
12,科比-布莱恩特,09-10,胜,勇士121-124湖人,1,40,50.00%,9,18,50.00%,2,4,81.80%,9,11,3,1,2,4,2,0,9,2,29
13,科比-布莱恩特,09-10,胜,太阳96-102湖人,1,42,43.80%,7,16,20.00%,1,5,66.70%,6,9,10,1,9,8,1,0,7,2,21
14,科比-布莱恩特,09-10,胜,猛龙107-109湖人,1,37,55.00%,11,20,0.00%,0,1,90.90%,10,11,6,1,5,6,1,0,4,4,32
15,科比-布莱恩特,09-10,负,魔术96-94湖人,1,40,40.00%,12,30,40.00%,2,5,100.00%,8,8,7,2,5,7,3,0,1,3,34
16,科比-布莱恩特,09-10,负,山猫98-83湖人,1,42,42.90%,9,21,0.00%,0,4,88.90%,8,9,5,2,3,2,0,0,3,4,26
17,科比-布莱恩特,09-10,负,热火114-111湖人,1,46,53.60%,15,28,28.60%,2,7,70.00%,7,10,2,0,2,4,1,1,2,3,39
18,科比-布莱恩特,09-10,胜,步行者99-122湖人,1,30,35.70%,5,14,0.00%,0,4,93.30%,14,15,4,0,4,6,2,0,3,1,24
19,科比-布莱恩特,09-10,胜,掘金89-95湖人,1,43,17.60%,3,17,0.00%,0,2,100.00%,8,8,5,1,4,12,3,2,5,1,14
20,科比-布莱恩特,09-10,胜,76人90-99湖人,1,42,43.80%,7,16,0.00%,0,1,83.30%,5,6,4,1,3,8,2,0,3,2,19
21,科比-布莱恩特,09-10,负,小牛101-96湖人,1,40,39.10%,9,23,0.00%,0,3,100.00%,2,2,5,1,4,2,2,0,2,4,20
22,科比-布莱恩特,09-10,胜,灰熊98-99湖人,1,40,68.40%,13,19,75.00%,3,4,100.00%,3,3,7,0,7,6,3,2,2,2,32
23,科比-布莱恩特,09-10,负,掘金126-113湖人,1,39,50.00%,11,22,50.00%,4,8,87.50%,7,8,9,0,9,0,1,0,5,4,33
24,科比-布莱恩特,09-10,胜,山猫97-99湖人,1,37,16.70%,2,12,20.00%,1,5,0.00%,0,2,2,0,2,6,2,0,0,4,5
25,科比-布莱恩特,09-10,负,灰熊95-93湖人,1,40,57.10%,16,28,57.10%,4,7,61.50%,8,13,3,0,3,3,0,0,3,1,44
26,科比-布莱恩特,09-10,胜,凯尔特89-90湖人,1,45,40.00%,8,20,33.30%,1,3,50.00%,2,4,3,0,3,6,0,0,4,1,19
27,科比-布莱恩特,09-10,胜,76人91-99湖人,1,40,45.50%,10,22,0.00%,0,4,66.70%,4,6,4,1,3,3,4,2,3,3,24
