id,球员,赛季,果,比赛,首发,时间,投篮,命中,出手,三分,命中,出手,罚球,命中,出手,篮板,前场,后场,助攻,抢断,盖帽,失误,犯规,得分
1,勒布朗-詹姆斯,10-11,胜,老鹰90-98热火,1,43,47.60%,10,21,50.00%,2,4,85.70%,12,14,10,1,9,7,3,0,7,1,34
2,勒布朗-詹姆斯,10-11,胜,凯尔特77-100热火,1,37,57.90%,11,19,0.00%,0,2,55.60%,5,9,5,0,5,7,4,1,4,1,27
3,勒布朗-詹姆斯,10-11,胜,山猫103-112热火,1,37,56.30%,9,16,0.00%,0,1,83.30%,5,6,7,1,6,9,2,1,1,2,23
4,勒布朗-詹姆斯,10-11,负,雄鹿90-85热火,1,39,45.50%,10,22,42.90%,3,7,75.00%,6,8,2,1,1,8,2,2,4,2,29
5,勒布朗-詹姆斯,10-11,胜,篮网94-108热火,1,39,72.20%,13,18,0.00%,0,2,62.50%,5,8,11,2,9,7,3,0,7,2,31
6,勒布朗-詹姆斯,10-11,胜,森林狼92-111热火,1,43,55.00%,11,20,0.00%,0,1,71.40%,5,7,6,2,4,10,3,1,3,2,27
7,勒布朗-詹姆斯,10-11,胜,奇才107-123热火,1,44,75.00%,12,16,33.30%,1,3,76.90%,10,13,8,1,7,8,5,0,5,3,35
8,勒布朗-詹姆斯,10-11,负,骑士102-90热火,1,43,47.60%,10,21,20.00%,1,5,60.00%,6,10,10,0,10,12,0,0,3,3,27
9,勒布朗-詹姆斯,10-11,胜,火箭119-125热火,1,40,61.90%,13,21,0.00%,0,1,77.80%,7,9,10,1,9,7,0,0,2,1,33
10,勒布朗-詹姆斯,10-11,胜,76人99-111热火,1,41,64.70%,11,17,25.00%,1,4,100.00%,9,9,10,2,8,2,3,1,4,3,32
11,勒布朗-詹姆斯,10-11,胜,活塞94-100热火,1,42,50.00%,8,16,0.00%,0,3,75.00%,3,4,8,3,5,7,0,0,3,3,19
12,勒布朗-詹姆斯,10-11,胜,掘金98-103热火,1,41,60.00%,15,25,25.00%,1,4,100.00%,2,2,6,0,6,2,2,0,5,3,33
13,勒布朗-詹姆斯,10-11,胜,老鹰85-106热火,1,31,76.20%,16,21,71.40%,5,7,85.70%,6,7,2,0,2,3,0,0,4,2,43
14,勒布朗-詹姆斯,10-11,负,雷霆96-85热火,1,40,38.10%,8,21,0.00%,0,3,100.00%,3,3,8,0,8,3,1,1,1,0,19
15,勒布朗-詹姆斯,10-11,胜,马刺80-110热火,1,42,42.10%,8,19,0.00%,0,1,100.00%,5,5,6,0,6,8,0,2,2,3,21
16,勒布朗-詹姆斯,10-11,胜,灰熊85-118热火,1,32,62.50%,10,16,50.00%,2,4,83.30%,5,6,5,1,4,5,1,2,3,1,27
17,勒布朗-詹姆斯,10-11,胜,湖人88-94热火,1,42,41.20%,7,17,0.00%,0,3,71.40%,5,7,8,1,7,9,1,0,1,1,19
18,勒布朗-詹姆斯,10-11,负,开拓者105-96热火,1,46,70.00%,14,20,50.00%,2,4,25.00%,1,4,11,1,10,8,1,0,4,3,31
19,勒布朗-詹姆斯,10-11,负,公牛87-86热火,1,42,55.60%,10,18,50.00%,1,2,83.30%,5,6,8,3,5,6,2,0,2,2,26
20,勒布朗-詹姆斯,10-11,负,马刺125-95热火,1,36,57.90%,11,19,33.30%,1,3,42.90%,3,7,8,3,5,7,1,0,4,2,26
21,勒布朗-詹姆斯,10-11,负,魔术99-96热火,1,40,68.80%,11,16,0.00%,0,2,100.00%,7,7,6,2,4,4,0,2,2,2,29
22,勒布朗-詹姆斯,10-11,负,尼克斯91-86热火,1,39,50.00%,10,20,20.00%,1,5,75.00%,6,8,7,0,7,5,3,1,5,2,27
23,勒布朗-詹姆斯,10-11,胜,奇才113-121热火,1,43,45.50%,5,11,0.00%,0,1,78.90%,15,19,9,1,8,7,1,3,1,2,25
24,勒布朗-詹姆斯,10-11,负,公牛93-89热火,1,41,57.10%,12,21,0.00%,0,4,83.30%,5,6,10,0,10,5,2,1,2,1,29
25,勒布朗-詹姆斯,10-11,胜,国王97-117热火,1,30,53.80%,14,26,50.00%,3,6,0.00%,0,3,8,2,6,3,0,0,3,4,31
26,勒布朗-詹姆斯,10-11,胜,猛龙95-103热火,1,38,44.40%,8,18,0.00%,0,2,70.00%,7,10,13,3,10,8,0,0,5,1,23
