id,球员,赛季,果,比赛,首发,时间,投篮,命中,出手,三分,命中,出手,罚球,命中,出手,篮板,前场,后场,助攻,抢断,盖帽,失误,犯规,得分
1,凯文-乐福,14-15,胜,奇才108-113骑士,1,18,50.00%,6,12,83.30%,5,6,100.00%,2,2,3,0,3,0,0,0,1,0,19
2,凯文-乐福,14-15,胜,活塞97-109骑士,1,26,33.30%,3,9,16.70%,1,6,,0,0,4,0,4,0,0,2,1,1,7
3,凯文-乐福,14-15,负,凯尔特99-90骑士,1,31,50.00%,6,12,50.00%,4,8,100.00%,3,3,6,2,4,4,0,0,2,1,19
4,凯文-乐福,14-15,胜,雄鹿99-104骑士,1,35,50.00%,7,14,20.00%,1,5,50.00%,1,2,11,2,9,0,1,2,2,1,16
5,凯文-乐福,14-15,胜,公牛94-99骑士,1,31,33.30%,4,12,37.50%,3,8,,0,0,4,1,3,2,2,1,2,1,11
6,凯文-乐福,14-15,胜,76人86-87骑士,1,31,40.00%,4,10,40.00%,2,5,0.00%,0,1,10,3,7,1,2,1,2,1,10
7,凯文-乐福,14-15,负,篮网106-98骑士,1,31,54.50%,6,11,50.00%,2,4,100.00%,4,4,7,1,6,1,0,0,3,6,18
8,凯文-乐福,14-15,胜,灰熊89-111骑士,1,32,76.90%,10,13,50.00%,2,4,,0,0,10,1,9,4,1,2,5,0,22
9,凯文-乐福,14-15,胜,雄鹿90-108骑士,1,29,30.80%,4,13,20.00%,1,5,,0,0,3,2,1,2,0,0,2,1,9
10,凯文-乐福,14-15,胜,步行者92-95骑士,1,39,33.30%,3,9,25.00%,1,4,80.00%,4,5,13,2,11,1,0,1,0,0,11
11,凯文-乐福,14-15,胜,篮网92-117骑士,1,27,44.40%,4,9,0.00%,0,2,66.70%,2,3,11,2,9,4,0,0,3,1,10
12,凯文-乐福,14-15,胜,马刺125-128骑士,1,33,20.00%,2,10,50.00%,2,4,100.00%,2,2,5,2,3,2,0,0,0,0,8
13,凯文-乐福,14-15,胜,小牛94-127骑士,1,33,52.90%,9,17,33.30%,2,6,50.00%,1,2,14,2,12,2,0,1,3,2,21
14,凯文-乐福,14-15,胜,太阳79-89骑士,1,33,50.00%,3,6,60.00%,3,5,100.00%,4,4,10,0,10,4,1,1,2,2,13
15,凯文-乐福,14-15,负,老鹰106-97骑士,1,35,36.40%,4,11,40.00%,4,10,50.00%,2,4,8,2,6,1,1,1,1,2,14
16,凯文-乐福,14-15,胜,猛龙112-120骑士,1,34,60.00%,6,10,57.10%,4,7,66.70%,6,9,10,3,7,1,1,0,0,1,22
17,凯文-乐福,14-15,胜,凯尔特79-110骑士,1,25,40.00%,4,10,33.30%,2,6,100.00%,2,2,8,0,8,3,0,1,0,0,12
18,凯文-乐福,14-15,负,火箭105-103骑士,1,35,42.10%,8,19,37.50%,3,8,100.00%,2,2,6,2,4,3,0,0,1,4,21
19,凯文-乐福,14-15,负,步行者93-86骑士,1,36,31.60%,6,19,14.30%,1,7,100.00%,4,4,10,2,8,3,2,2,0,3,17
