id,球员,赛季,果,比赛,首发,时间,投篮,命中,出手,三分,命中,出手,罚球,命中,出手,篮板,前场,后场,助攻,抢断,盖帽,失误,犯规,得分
1,托尼-帕克,05-06,胜,爵士82-115马刺,1,16,100.00%,3,3,,0,0,,0,0,1,0,1,3,0,0,3,4,6
2,托尼-帕克,05-06,胜,森林狼90-103马刺,1,17,71.40%,5,7,0.00%,0,1,50.00%,1,2,1,0,1,1,1,0,2,1,11
3,托尼-帕克,05-06,负,魔术92-80马刺,1,26,54.50%,6,11,,0,0,,0,0,4,2,2,4,1,0,7,2,12
4,托尼-帕克,05-06,胜,超音速95-104马刺,1,29,68.40%,13,19,100.00%,1,1,,0,0,5,1,4,9,2,1,4,2,27
5,托尼-帕克,05-06,胜,灰熊81-83马刺,1,39,60.00%,9,15,0.00%,0,1,100.00%,1,1,4,2,2,3,1,0,2,1,19
6,托尼-帕克,05-06,负,小牛92-86马刺,1,32,33.30%,5,15,,0,0,,0,0,6,2,4,3,0,0,5,2,10
7,托尼-帕克,05-06,负,国王97-87马刺,1,30,46.20%,6,13,0.00%,0,1,100.00%,4,4,1,0,1,5,0,0,3,0,16
8,托尼-帕克,05-06,胜,爵士86-95马刺,1,37,60.00%,9,15,75.00%,3,4,50.00%,2,4,2,1,1,8,1,0,4,3,23
9,托尼-帕克,05-06,胜,奇才99-106马刺,1,36,58.80%,10,17,,0,0,72.70%,8,11,6,1,5,6,0,0,4,4,28
10,托尼-帕克,05-06,胜,湖人85-96马刺,1,33,64.30%,9,14,,0,0,100.00%,1,1,2,0,2,6,2,0,0,1,19
11,托尼-帕克,05-06,负,超音速106-102马刺,1,38,53.80%,7,13,,0,0,100.00%,3,3,2,1,1,12,4,0,3,2,17
12,托尼-帕克,05-06,胜,开拓者79-98马刺,1,33,53.80%,7,13,,0,0,,0,0,1,0,1,2,1,0,3,1,14
13,托尼-帕克,05-06,负,掘金104-92马刺,1,35,40.00%,6,15,50.00%,1,2,50.00%,1,2,3,0,3,6,0,0,3,2,14
14,托尼-帕克,05-06,胜,勇士96-107马刺,1,34,47.40%,9,19,,0,0,84.60%,11,13,3,1,2,7,0,0,3,1,29
15,托尼-帕克,05-06,胜,火箭77-92马刺,1,37,58.80%,10,17,,0,0,75.00%,3,4,4,1,3,8,0,0,0,1,23
16,托尼-帕克,05-06,胜,太阳102-108马刺,1,35,54.50%,6,11,,0,0,50.00%,1,2,3,2,1,5,0,0,4,4,13
17,托尼-帕克,05-06,胜,黄蜂81-96马刺,1,34,50.00%,8,16,,0,0,80.00%,4,5,2,0,2,11,4,0,1,2,20
18,托尼-帕克,05-06,胜,火箭81-88马刺,1,32,40.00%,4,10,,0,0,,0,0,2,0,2,4,2,0,0,0,8
