id,球员,赛季,果,比赛,首发,时间,投篮,命中,出手,三分,命中,出手,罚球,命中,出手,篮板,前场,后场,助攻,抢断,盖帽,失误,犯规,得分
1,克里斯-保罗,16-17,胜,国王95-115快船,1,35,50.00%,6,12,60.00%,3,5,100.00%,2,2,5,1,4,9,2,0,1,1,17
2,克里斯-保罗,16-17,胜,火箭96-125快船,1,29,41.70%,5,12,66.70%,2,3,100.00%,7,7,5,0,5,9,4,0,0,1,19
3,克里斯-保罗,16-17,胜,马刺87-98快船,1,31,56.30%,9,16,33.30%,1,3,,0,0,8,0,8,8,3,1,2,2,19
4,克里斯-保罗,16-17,胜,小牛101-112快船,1,33,57.10%,8,14,60.00%,3,5,100.00%,3,3,3,0,3,11,2,0,5,4,22
5,克里斯-保罗,16-17,胜,湖人104-115快船,1,37,64.30%,9,14,33.30%,1,3,100.00%,10,10,4,0,4,12,0,0,6,1,29
6,克里斯-保罗,16-17,胜,太阳118-124快船,1,35,58.80%,10,17,25.00%,1,4,88.90%,8,9,5,1,4,10,1,0,1,2,29
7,克里斯-保罗,16-17,胜,奇才124-133快船,1,37,60.00%,9,15,40.00%,2,5,87.50%,7,8,3,1,2,13,1,0,1,2,27
8,克里斯-保罗,16-17,负,国王98-97快船,1,31,44.40%,4,9,60.00%,3,5,100.00%,6,6,4,1,3,9,1,1,1,1,17
9,克里斯-保罗,16-17,胜,爵士95-108快船,1,29,27.80%,5,18,0.00%,0,8,100.00%,4,4,3,1,2,5,1,0,3,0,14
10,克里斯-保罗,16-17,负,小牛97-95快船,1,35,46.20%,6,13,20.00%,1,5,100.00%,2,2,6,2,4,6,3,0,4,3,15
11,克里斯-保罗,16-17,胜,湖人109-133快船,1,25,60.00%,9,15,50.00%,4,8,100.00%,5,5,8,2,6,4,1,0,2,2,27
12,克里斯-保罗,16-17,胜,尼克斯105-114快船,1,28,45.50%,5,11,40.00%,2,5,100.00%,1,1,5,0,5,13,1,0,0,2,13
13,克里斯-保罗,16-17,胜,骑士78-108快船,1,27,0.00%,0,8,0.00%,0,5,100.00%,5,5,4,0,4,7,0,0,3,2,5
14,克里斯-保罗,16-17,负,掘金129-114快船,1,30,66.70%,8,12,66.70%,2,3,,0,0,1,0,1,14,1,0,2,5,18
15,克里斯-保罗,16-17,负,雄鹿97-96快船,1,36,20.00%,2,10,25.00%,1,4,100.00%,1,1,5,1,4,7,1,0,6,4,6
16,克里斯-保罗,16-17,负,爵士114-108快船,1,35,52.40%,11,21,45.50%,5,11,100.00%,6,6,6,1,5,7,1,0,1,4,33
17,克里斯-保罗,16-17,胜,76人100-112快船,1,34,68.80%,11,16,100.00%,4,4,100.00%,4,4,3,0,3,7,2,0,3,1,30
18,克里斯-保罗,16-17,胜,灰熊98-114快船,1,27,53.30%,8,15,50.00%,3,6,,0,0,4,1,3,7,0,0,2,1,19
19,克里斯-保罗,16-17,负,森林狼107-91快船,1,32,33.30%,3,9,25.00%,1,4,0.00%,0,1,3,1,2,10,1,0,3,2,7
20,克里斯-保罗,16-17,胜,凯尔特102-116快船,1,30,57.10%,8,14,33.30%,1,3,75.00%,6,8,5,1,4,4,3,0,5,1,23
21,克里斯-保罗,16-17,胜,公牛91-101快船,1,33,50.00%,7,14,50.00%,2,4,50.00%,1,2,2,0,2,4,2,1,1,2,17
22,克里斯-保罗,16-17,负,雄鹿112-101快船,1,29,63.60%,7,11,83.30%,5,6,100.00%,2,2,4,0,4,5,1,0,4,5,21
23,克里斯-保罗,16-17,负,火箭122-103快船,1,36,38.50%,5,13,42.90%,3,7,100.00%,3,3,2,1,1,11,2,0,1,3,16
24,克里斯-保罗,16-17,胜,黄蜂121-124快船,1,41,22.20%,4,18,33.30%,2,6,83.30%,5,6,9,0,9,17,1,0,0,3,15
25,克里斯-保罗,16-17,负,马刺105-97快船,1,33,42.90%,6,14,66.70%,2,3,75.00%,3,4,6,0,6,5,2,0,4,4,17
26,克里斯-保罗,16-17,胜,雷霆98-120快船,1,14,60.00%,3,5,66.70%,2,3,,0,0,3,0,3,6,1,0,3,0,8
27,克里斯-保罗,16-17,胜,湖人97-113快船,1,31,46.70%,7,15,33.30%,2,6,100.00%,4,4,5,2,3,13,2,0,4,2,20
28,克里斯-保罗,16-17,胜,魔术96-105快船,1,33,46.20%,6,13,20.00%,1,5,83.30%,5,6,7,0,7,6,4,0,5,3,18
29,克里斯-保罗,16-17,胜,热火86-98快船,1,29,63.60%,7,11,33.30%,1,3,80.00%,4,5,6,1,5,18,2,0,1,4,19
30,克里斯-保罗,16-17,胜,国王98-106快船,1,31,60.00%,3,5,50.00%,1,2,87.50%,7,8,6,0,6,12,3,0,3,2,14
31,克里斯-保罗,16-17,负,鹈鹕102-98快船,1,31,46.70%,7,15,28.60%,2,7,100.00%,5,5,8,3,5,6,1,0,1,3,21
32,克里斯-保罗,16-17,胜,马刺101-106快船,1,23,54.50%,6,11,100.00%,2,2,83.30%,5,6,6,0,6,6,2,0,2,2,19
33,克里斯-保罗,16-17,胜,掘金102-119快船,1,26,50.00%,7,14,40.00%,2,5,,0,0,8,0,8,15,1,0,3,1,16
34,克里斯-保罗,16-17,负,奇才117-110快船,1,37,40.00%,6,15,20.00%,1,5,0.00%,0,1,4,1,3,12,2,0,3,4,13
35,克里斯-保罗,16-17,胜,热火98-102快船,1,34,40.00%,6,15,25.00%,1,4,66.70%,4,6,5,0,5,6,0,0,1,3,17
36,克里斯-保罗,16-17,胜,魔术108-113快船,1,32,55.60%,5,9,50.00%,1,2,83.30%,5,6,2,0,2,10,2,0,4,3,16
37,克里斯-保罗,16-17,胜,开拓者120-121快船,1,36,50.00%,7,14,50.00%,3,6,100.00%,4,4,5,1,4,14,2,0,2,3,21
38,克里斯-保罗,16-17,胜,鹈鹕105-133快船,1,30,50.00%,8,16,50.00%,3,6,50.00%,1,2,5,0,5,20,3,0,0,3,20
39,克里斯-保罗,16-17,负,勇士115-98快船,1,32,50.00%,7,14,16.70%,1,6,,0,0,6,1,5,5,1,0,2,4,15
40,克里斯-保罗,16-17,负,步行者111-102快船,1,35,55.60%,5,9,40.00%,2,5,85.70%,6,7,2,0,2,11,1,0,5,3,18
41,克里斯-保罗,16-17,胜,鹈鹕96-114快船,1,34,54.50%,6,11,25.00%,1,4,100.00%,4,4,8,1,7,13,1,0,2,2,17
42,克里斯-保罗,16-17,胜,骑士94-113快船,1,25,45.50%,5,11,42.90%,3,7,100.00%,3,3,6,2,4,9,1,0,0,4,16
43,克里斯-保罗,16-17,负,篮网127-122快船,1,45,42.30%,11,26,57.10%,4,7,,0,0,10,3,7,13,2,1,4,2,26
44,克里斯-保罗,16-17,负,步行者91-70快船,1,32,27.30%,3,11,0.00%,0,6,100.00%,7,7,4,0,4,4,2,1,4,1,13
45,克里斯-保罗,16-17,负,活塞108-97快船,1,33,22.20%,2,9,25.00%,1,4,100.00%,3,3,3,0,3,14,1,0,5,4,8
46,克里斯-保罗,16-17,胜,小牛104-124快船,1,26,60.00%,6,10,50.00%,2,4,100.00%,4,4,3,1,2,4,4,0,0,1,18
47,克里斯-保罗,16-17,胜,猛龙115-123快船,1,35,57.10%,8,14,37.50%,3,8,100.00%,7,7,3,0,3,12,2,0,4,1,26
48,克里斯-保罗,16-17,胜,公牛95-102快船,1,34,50.00%,7,14,60.00%,3,5,66.70%,2,3,4,3,1,8,2,0,4,2,19
49,克里斯-保罗,16-17,胜,国王115-121快船,1,33,20.00%,2,10,16.70%,1,6,75.00%,6,8,9,1,8,12,4,0,3,4,11
50,克里斯-保罗,16-17,负,灰熊111-107快船,1,34,27.30%,3,11,25.00%,1,4,50.00%,2,4,2,0,2,6,5,0,2,4,9
51,克里斯-保罗,16-17,胜,篮网95-127快船,1,25,72.70%,8,11,66.70%,4,6,100.00%,1,1,4,1,3,9,5,0,1,2,21
52,克里斯-保罗,16-17,胜,森林狼105-119快船,1,32,57.10%,4,7,75.00%,3,4,100.00%,8,8,4,0,4,8,2,0,4,2,19
53,克里斯-保罗,16-17,胜,雷霆108-110快船,1,36,35.70%,5,14,33.30%,2,6,100.00%,5,5,6,0,6,10,1,0,0,2,17
54,克里斯-保罗,16-17,胜,开拓者80-111快船,1,23,50.00%,7,14,50.00%,3,6,100.00%,2,2,4,1,3,7,1,0,1,2,19
55,克里斯-保罗,16-17,胜,活塞82-114快船,1,25,80.00%,8,10,100.00%,5,5,75.00%,3,4,6,0,6,8,2,1,0,1,24
56,克里斯-保罗,16-17,胜,马刺92-116快船,1,29,36.40%,4,11,0.00%,0,1,100.00%,1,1,8,1,7,10,2,0,1,2,9
57,克里斯-保罗,16-17,胜,灰熊88-99快船,1,33,37.50%,6,16,12.50%,1,8,93.30%,14,15,4,1,3,11,6,2,1,4,27
58,克里斯-保罗,16-17,负,雷霆85-83快船,1,33,36.40%,4,11,50.00%,2,4,83.30%,5,6,11,1,10,9,6,0,5,1,15
59,克里斯-保罗,16-17,胜,太阳98-116快船,1,30,53.30%,8,15,50.00%,2,4,85.70%,6,7,5,0,5,8,2,0,2,4,24
60,克里斯-保罗,16-17,胜,爵士75-88快船,1,29,37.50%,3,8,33.30%,1,3,100.00%,2,2,3,0,3,9,3,0,3,1,9
61,克里斯-保罗,16-17,胜,开拓者106-114快船,1,33,47.40%,9,19,37.50%,3,8,85.70%,6,7,5,0,5,5,1,0,1,2,27
