id,球员,赛季,果,比赛,首发,时间,投篮,命中,出手,三分,命中,出手,罚球,命中,出手,篮板,前场,后场,助攻,抢断,盖帽,失误,犯规,得分
1,保罗-皮尔斯,10-11,负,热火100-77凯尔特,1,34,64.30%,9,14,60.00%,3,5,100.00%,3,3,7,0,7,2,2,0,4,4,24
2,保罗-皮尔斯,10-11,胜,奇才88-104凯尔特,1,40,35.70%,5,14,0.00%,0,2,92.30%,12,13,12,4,8,3,2,3,3,0,22
3,保罗-皮尔斯,10-11,负,公牛97-81凯尔特,1,32,46.20%,6,13,20.00%,1,5,100.00%,2,2,4,0,4,1,0,1,4,2,15
4,保罗-皮尔斯,10-11,胜,76人82-99凯尔特,1,35,54.50%,6,11,75.00%,3,4,100.00%,3,3,7,0,7,4,0,1,3,3,18
5,保罗-皮尔斯,10-11,胜,活塞90-101凯尔特,1,32,70.00%,7,10,60.00%,3,5,83.30%,5,6,6,0,6,3,1,0,3,2,22
6,保罗-皮尔斯,10-11,负,老鹰88-83凯尔特,1,36,53.30%,8,15,50.00%,1,2,72.70%,8,11,8,0,8,2,1,0,2,5,25
7,保罗-皮尔斯,10-11,胜,马刺97-107凯尔特,1,37,50.00%,8,16,20.00%,1,5,80.00%,4,5,11,3,8,7,1,1,2,2,21
8,保罗-皮尔斯,10-11,负,步行者107-100凯尔特,1,39,61.50%,8,13,75.00%,3,4,100.00%,4,4,6,1,5,1,1,1,3,3,23
9,保罗-皮尔斯,10-11,胜,森林狼82-85凯尔特,1,37,37.50%,6,16,25.00%,2,8,81.80%,9,11,7,1,6,3,1,0,6,4,23
10,保罗-皮尔斯,10-11,负,山猫83-81凯尔特,1,30,42.90%,6,14,20.00%,1,5,62.50%,5,8,3,0,3,4,1,1,0,4,18
11,保罗-皮尔斯,10-11,负,灰熊90-87凯尔特,1,35,60.00%,6,10,50.00%,2,4,100.00%,8,8,6,0,6,2,0,0,2,1,22
12,保罗-皮尔斯,10-11,胜,尼克斯86-96凯尔特,1,35,61.50%,8,13,50.00%,1,2,100.00%,4,4,6,0,6,2,0,0,0,4,21
13,保罗-皮尔斯,10-11,胜,黄蜂85-89凯尔特,1,35,11.10%,1,9,16.70%,1,6,100.00%,6,6,4,0,4,6,2,0,3,2,9
14,保罗-皮尔斯,10-11,负,火箭93-77凯尔特,1,28,20.00%,2,10,0.00%,0,4,100.00%,6,6,5,1,4,3,0,0,2,0,10
15,保罗-皮尔斯,10-11,胜,步行者80-92凯尔特,1,28,50.00%,6,12,50.00%,2,4,85.70%,6,7,2,0,2,5,2,1,1,1,20
16,保罗-皮尔斯,10-11,负,篮网88-79凯尔特,1,32,20.00%,2,10,0.00%,0,2,100.00%,3,3,7,1,6,5,2,2,2,4,7
17,保罗-皮尔斯,10-11,胜,雄鹿56-87凯尔特,1,28,57.10%,4,7,,0,0,85.70%,6,7,3,0,3,2,0,2,4,0,14
18,保罗-皮尔斯,10-11,负,76人89-86凯尔特,1,36,57.10%,4,7,0.00%,0,2,75.00%,3,4,7,1,6,5,0,1,3,5,11
19,保罗-皮尔斯,10-11,负,快船108-103凯尔特,1,37,45.50%,5,11,40.00%,2,5,87.50%,7,8,4,0,4,6,0,1,2,3,19
20,保罗-皮尔斯,10-11,胜,雄鹿83-89凯尔特,1,37,61.50%,8,13,50.00%,1,2,100.00%,6,6,5,0,5,4,1,1,4,2,23
21,保罗-皮尔斯,10-11,胜,勇士103-107凯尔特,1,37,64.30%,9,14,25.00%,1,4,100.00%,8,8,7,1,6,2,1,1,4,3,27
22,保罗-皮尔斯,10-11,胜,太阳103-115凯尔特,1,36,66.70%,6,9,0.00%,0,3,66.70%,4,6,13,0,13,3,1,0,3,5,16
23,保罗-皮尔斯,10-11,胜,爵士102-107凯尔特,1,38,40.00%,4,10,50.00%,2,4,100.00%,11,11,7,0,7,4,1,0,0,5,21
24,保罗-皮尔斯,10-11,胜,快船92-99凯尔特,1,36,42.90%,6,14,25.00%,1,4,84.60%,11,13,5,0,5,2,2,0,3,1,24
25,保罗-皮尔斯,10-11,负,掘金89-75凯尔特,1,28,38.90%,7,18,33.30%,2,6,100.00%,1,1,6,1,5,0,3,1,2,4,17
26,保罗-皮尔斯,10-11,胜,勇士93-115凯尔特,1,35,69.20%,9,13,60.00%,3,5,100.00%,2,2,3,1,2,5,0,0,3,3,23
27,保罗-皮尔斯,10-11,胜,篮网80-94凯尔特,1,33,55.60%,10,18,20.00%,1,5,76.90%,10,13,5,0,5,0,1,1,1,1,31
28,保罗-皮尔斯,10-11,胜,热火82-85凯尔特,1,40,0.00%,0,10,0.00%,0,5,50.00%,1,2,5,0,5,3,1,0,3,3,1
29,保罗-皮尔斯,10-11,负,湖人92-86凯尔特,1,40,40.00%,6,15,33.30%,1,3,100.00%,2,2,4,0,4,4,1,1,2,4,15
30,保罗-皮尔斯,10-11,负,山猫94-89凯尔特,1,35,42.90%,6,14,20.00%,1,5,90.00%,9,10,6,0,6,3,1,0,1,4,22
31,保罗-皮尔斯,10-11,胜,魔术80-91凯尔特,1,42,36.40%,4,11,0.00%,0,2,83.30%,10,12,4,0,4,5,1,1,3,4,18
