id,球员,赛季,果,比赛,首发,时间,投篮,命中,出手,三分,命中,出手,罚球,命中,出手,篮板,前场,后场,助攻,抢断,盖帽,失误,犯规,得分
1,克莱-汤普森,15-16,胜,灰熊104-125勇士,1,28,46.20%,6,13,40.00%,4,10,,0,0,2,0,2,2,0,1,0,1,16
2,克莱-汤普森,15-16,胜,马刺86-92勇士,1,35,42.90%,6,14,50.00%,2,4,,0,0,6,1,5,0,2,1,2,2,14
3,克莱-汤普森,15-16,胜,灰熊99-100勇士,1,35,43.80%,7,16,20.00%,2,10,100.00%,4,4,5,1,4,3,1,1,1,0,20
4,克莱-汤普森,15-16,胜,马刺101-112勇士,1,35,38.50%,5,13,40.00%,2,5,100.00%,2,2,3,2,1,6,1,0,1,4,14
5,克莱-汤普森,15-16,负,森林狼124-117勇士,1,40,54.50%,12,22,36.40%,4,11,,0,0,3,0,3,3,0,1,4,4,28
6,克莱-汤普森,15-16,胜,开拓者111-136勇士,1,35,47.10%,8,17,33.30%,2,6,100.00%,3,3,3,0,3,3,0,2,0,2,21
7,克莱-汤普森,15-16,负,凯尔特109-106勇士,1,37,37.50%,6,16,33.30%,2,6,100.00%,1,1,3,0,3,3,1,0,1,1,15
8,克莱-汤普森,15-16,胜,爵士96-103勇士,1,39,40.00%,6,15,37.50%,3,8,75.00%,3,4,4,0,4,1,0,0,0,1,18
9,克莱-汤普森,15-16,胜,奇才94-102勇士,1,32,36.80%,7,19,25.00%,2,8,,0,0,4,0,4,1,1,1,2,3,16
10,克莱-汤普森,15-16,胜,76人105-117勇士,1,38,55.60%,15,27,50.00%,7,14,100.00%,3,3,2,2,0,0,0,1,2,0,40
11,克莱-汤普森,15-16,胜,小牛120-128勇士,1,35,52.00%,13,25,56.30%,9,16,83.30%,5,6,5,1,4,1,1,1,1,1,40
12,克莱-汤普森,15-16,胜,快船98-114勇士,1,36,57.10%,12,21,70.00%,7,10,100.00%,1,1,4,0,4,3,1,0,3,2,32
13,克莱-汤普森,15-16,胜,森林狼104-109勇士,1,30,35.70%,5,14,100.00%,5,5,100.00%,2,2,5,0,5,2,1,0,2,2,17
14,克莱-汤普森,15-16,负,马刺87-79勇士,1,38,35.00%,7,20,14.30%,1,7,,0,0,5,0,5,1,1,1,2,2,15
15,克莱-汤普森,15-16,胜,小牛112-130勇士,1,34,63.60%,14,22,66.70%,10,15,100.00%,1,1,6,0,6,2,2,1,3,3,39
16,克莱-汤普森,15-16,胜,尼克斯85-121勇士,1,26,41.20%,7,17,55.60%,5,9,,0,0,7,3,4,0,0,1,1,0,19
17,克莱-汤普森,15-16,胜,鹈鹕107-125勇士,1,26,63.60%,7,11,50.00%,2,4,100.00%,2,2,2,0,2,0,0,1,4,0,18
18,克莱-汤普森,15-16,胜,太阳116-123勇士,1,37,35.30%,6,17,37.50%,3,8,100.00%,5,5,6,1,5,3,1,0,0,4,20
19,克莱-汤普森,15-16,胜,开拓者112-128勇士,1,32,59.10%,13,22,72.70%,8,11,100.00%,3,3,5,3,2,0,0,0,0,1,37
20,克莱-汤普森,15-16,胜,爵士94-115勇士,1,30,64.30%,9,14,62.50%,5,8,,0,0,1,0,1,1,1,0,1,0,23
21,克莱-汤普森,15-16,胜,魔术113-119勇士,1,36,47.80%,11,23,45.50%,5,11,,0,0,6,1,5,0,1,0,2,4,27
22,克莱-汤普森,15-16,负,湖人112-95勇士,1,30,35.00%,7,20,0.00%,0,8,100.00%,1,1,4,1,3,2,2,0,1,0,15
23,克莱-汤普森,15-16,胜,雷霆106-121勇士,1,34,52.60%,10,19,14.30%,1,7,,0,0,2,0,2,3,2,0,2,1,21
24,克莱-汤普森,15-16,胜,老鹰105-109勇士,1,39,29.60%,8,27,37.50%,6,16,100.00%,4,4,6,0,6,5,1,0,2,3,26
25,克莱-汤普森,15-16,胜,雷霆118-121勇士,1,39,52.20%,12,23,22.20%,2,9,85.70%,6,7,3,0,3,1,2,1,1,3,32
26,克莱-汤普森,15-16,胜,魔术114-130勇士,1,29,40.00%,4,10,20.00%,1,5,,0,0,2,0,2,1,0,1,1,1,9
27,克莱-汤普森,15-16,胜,热火112-118勇士,1,34,52.00%,13,25,50.00%,4,8,100.00%,3,3,3,0,3,0,4,0,1,2,33
28,克莱-汤普森,15-16,胜,老鹰92-102勇士,1,37,43.50%,10,23,35.70%,5,14,100.00%,2,2,2,0,2,3,3,0,1,3,27
29,克莱-汤普森,15-16,胜,快船112-115勇士,1,40,50.00%,11,22,44.40%,4,9,100.00%,6,6,7,0,7,3,3,0,0,1,32
30,克莱-汤普森,15-16,负,开拓者137-105勇士,1,28,50.00%,8,16,40.00%,2,5,83.30%,5,6,3,0,3,1,1,0,1,1,23
31,克莱-汤普森,15-16,胜,太阳104-112勇士,1,33,40.00%,8,20,38.50%,5,13,100.00%,3,3,3,0,3,1,5,0,2,2,24
32,克莱-汤普森,15-16,胜,火箭110-123勇士,1,35,26.30%,5,19,0.00%,0,7,75.00%,3,4,2,0,2,3,0,0,2,2,13
33,克莱-汤普森,15-16,胜,雷霆108-116勇士,1,34,53.30%,8,15,16.70%,1,6,100.00%,1,1,4,0,4,0,0,0,2,3,18
34,克莱-汤普森,15-16,胜,奇才121-134勇士,1,33,42.10%,8,19,46.20%,6,13,100.00%,2,2,4,0,4,0,1,0,1,1,24
35,克莱-汤普森,15-16,胜,尼克斯95-116勇士,1,32,77.80%,14,18,83.30%,5,6,100.00%,1,1,1,0,1,2,1,0,3,5,34
36,克莱-汤普森,15-16,胜,76人105-108勇士,1,33,53.80%,14,26,40.00%,4,10,,0,0,2,0,2,3,0,0,5,1,32
37,克莱-汤普森,15-16,胜,小牛107-127勇士,1,32,70.00%,14,20,58.30%,7,12,100.00%,10,10,5,0,5,1,0,2,1,1,45
38,克莱-汤普森,15-16,胜,马刺90-120勇士,1,25,40.00%,4,10,0.00%,0,3,100.00%,3,3,4,0,4,1,0,0,2,3,11
39,克莱-汤普森,15-16,胜,步行者110-122勇士,1,35,37.50%,6,16,40.00%,4,10,100.00%,2,2,3,1,2,5,0,0,3,0,18
40,克莱-汤普森,15-16,胜,公牛94-125勇士,1,32,38.90%,7,18,37.50%,3,8,75.00%,3,4,5,0,5,1,0,3,0,2,20
41,克莱-汤普森,15-16,胜,骑士98-132勇士,1,26,45.50%,5,11,20.00%,1,5,100.00%,4,4,1,0,1,2,1,0,1,3,15
42,克莱-汤普森,15-16,负,活塞113-95勇士,1,32,44.40%,8,18,20.00%,1,5,87.50%,7,8,6,1,5,1,0,0,2,1,24
43,克莱-汤普森,15-16,胜,湖人98-116勇士,1,27,28.60%,4,14,40.00%,2,5,100.00%,2,2,3,1,2,1,0,1,1,2,12
44,克莱-汤普森,15-16,负,掘金112-110勇士,1,37,53.80%,7,13,40.00%,2,5,50.00%,1,2,4,1,3,3,0,0,2,2,17
45,克莱-汤普森,15-16,胜,热火103-111勇士,1,35,40.00%,6,15,50.00%,2,4,100.00%,3,3,7,1,6,2,2,0,3,2,17
46,克莱-汤普森,15-16,胜,国王116-128勇士,1,35,41.20%,7,17,14.30%,1,7,,0,0,4,0,4,6,0,1,2,1,15
47,克莱-汤普森,15-16,胜,开拓者108-128勇士,1,32,59.10%,13,22,70.00%,7,10,75.00%,3,4,6,0,6,5,0,0,0,1,36
48,克莱-汤普森,15-16,胜,湖人88-109勇士,1,34,54.50%,12,22,46.20%,6,13,100.00%,6,6,2,0,2,1,0,1,1,1,36
49,克莱-汤普森,15-16,胜,黄蜂101-111勇士,1,37,47.80%,11,23,54.50%,6,11,100.00%,2,2,5,0,5,3,0,1,2,2,30
50,克莱-汤普森,15-16,胜,掘金108-111勇士,1,46,40.70%,11,27,22.20%,2,9,50.00%,2,4,7,0,7,3,2,0,1,0,26
