id,球员,赛季,果,比赛,首发,时间,投篮,命中,出手,三分,命中,出手,罚球,命中,出手,篮板,前场,后场,助攻,抢断,盖帽,失误,犯规,得分
1,德维恩-韦德,13-14,负,76人100-87热火,1,23,42.90%,6,14,0.00%,0,2,66.70%,4,6,2,1,1,4,0,0,3,1,16
2,德维恩-韦德,13-14,负,奇才114-93热火,1,18,44.40%,4,9,0.00%,0,1,50.00%,1,2,0,0,0,3,2,0,4,0,9
3,德维恩-韦德,13-14,负,老鹰98-85热火,1,23,71.40%,10,14,0.00%,0,1,44.40%,4,9,3,1,2,1,1,1,2,2,24
4,德维恩-韦德,13-14,负,步行者84-83热火,1,32,54.50%,6,11,,0,0,50.00%,3,6,4,0,4,1,1,1,6,2,15
5,德维恩-韦德,13-14,胜,灰熊86-91热火,1,33,45.50%,5,11,,0,0,100.00%,4,4,4,2,2,4,2,0,3,0,14
6,德维恩-韦德,13-14,负,凯尔特101-96热火,1,32,41.20%,7,17,0.00%,0,1,100.00%,3,3,3,2,1,5,1,1,3,1,17
7,德维恩-韦德,13-14,胜,火箭104-113热火,1,34,66.70%,10,15,,0,0,57.10%,4,7,3,1,2,6,2,1,1,1,24
8,德维恩-韦德,13-14,负,掘金111-107热火,1,35,44.40%,8,18,,0,0,60.00%,3,5,5,1,4,6,0,0,2,1,19
9,德维恩-韦德,13-14,负,篮网96-95热火,1,37,72.70%,8,11,,0,0,85.70%,6,7,2,0,2,2,0,1,2,4,22
10,德维恩-韦德,13-14,胜,奇才90-99热火,1,33,47.10%,8,17,,0,0,100.00%,6,6,5,2,3,6,1,1,3,1,22
11,德维恩-韦德,13-14,负,公牛95-88热火,1,40,43.80%,7,16,0.00%,0,2,91.70%,11,12,5,1,4,4,2,0,4,3,25
12,德维恩-韦德,13-14,负,马刺111-87热火,1,36,46.70%,7,15,0.00%,0,1,66.70%,2,3,3,0,3,7,1,0,2,2,16
13,德维恩-韦德,13-14,负,火箭106-103热火,1,37,53.30%,8,15,0.00%,0,1,66.70%,8,12,4,3,1,6,2,0,3,1,24
14,德维恩-韦德,13-14,胜,魔术98-112热火,1,30,71.40%,10,14,,0,0,80.00%,4,5,3,2,1,4,1,1,3,0,24
15,德维恩-韦德,13-14,胜,尼克斯82-108热火,1,27,76.90%,10,13,,0,0,75.00%,3,4,2,0,2,1,1,0,4,1,23
16,德维恩-韦德,13-14,胜,公牛79-93热火,1,35,45.50%,10,22,,0,0,100.00%,3,3,10,7,3,7,2,1,3,0,23
17,德维恩-韦德,13-14,胜,雷霆81-103热火,1,37,64.70%,11,17,,0,0,100.00%,2,2,7,2,5,10,3,0,3,3,24
18,德维恩-韦德,13-14,胜,小牛106-117热火,1,34,57.10%,4,7,,0,0,83.30%,5,6,3,1,2,7,0,1,1,1,13
19,德维恩-韦德,13-14,负,爵士94-89热火,1,36,50.00%,7,14,,0,0,100.00%,5,5,6,0,6,2,0,0,3,4,19
20,德维恩-韦德,13-14,胜,快船112-116热火,1,35,62.50%,5,8,,0,0,100.00%,4,4,3,0,3,8,0,0,2,3,14
21,德维恩-韦德,13-14,胜,活塞96-102热火,1,37,68.40%,13,19,100.00%,1,1,75.00%,3,4,10,2,8,5,0,0,6,2,30
22,德维恩-韦德,13-14,胜,尼克斯91-106热火,1,34,66.70%,10,15,0.00%,0,2,66.70%,2,3,4,1,3,4,2,0,5,4,22
23,德维恩-韦德,13-14,负,雷霆112-95热火,1,32,58.30%,7,12,0.00%,0,1,50.00%,1,2,1,1,0,2,0,2,4,3,15
24,德维恩-韦德,13-14,胜,马刺101-113热火,0,24,37.50%,3,8,,0,0,100.00%,2,2,3,0,3,5,1,0,2,3,8
25,德维恩-韦德,13-14,胜,76人86-101热火,1,25,50.00%,3,6,,0,0,100.00%,2,2,2,1,1,2,1,3,1,3,8
26,德维恩-韦德,13-14,负,奇才114-97热火,1,33,36.40%,4,11,,0,0,,0,0,6,1,5,5,0,0,3,0,8
27,德维恩-韦德,13-14,负,尼克斯102-92热火,1,39,73.30%,11,15,100.00%,1,1,0.00%,0,6,4,1,3,2,1,1,3,3,23
28,德维恩-韦德,13-14,胜,鹈鹕88-107热火,1,34,60.00%,9,15,0.00%,0,1,80.00%,4,5,8,3,5,8,0,0,4,1,22
29,德维恩-韦德,13-14,胜,猛龙97-102热火,1,35,38.50%,5,13,,0,0,100.00%,4,4,9,2,7,3,2,1,1,1,14
30,德维恩-韦德,13-14,胜,魔术94-110热火,1,36,53.30%,8,15,,0,0,80.00%,4,5,6,1,5,4,1,0,2,2,20
31,德维恩-韦德,13-14,负,勇士123-114热火,1,36,50.00%,9,18,100.00%,2,2,100.00%,2,2,4,1,3,5,3,0,2,4,22
32,德维恩-韦德,13-14,胜,掘金94-97热火,1,18,66.70%,6,9,0.00%,0,1,,0,0,2,0,2,2,1,1,0,0,12
33,德维恩-韦德,13-14,胜,开拓者107-108热火,1,34,40.00%,8,20,,0,0,0.00%,0,1,4,1,3,7,1,1,3,2,16
34,德维恩-韦德,13-14,胜,湖人95-101热火,1,39,64.70%,11,17,100.00%,1,1,0.00%,0,2,6,1,5,7,3,0,3,1,23
35,德维恩-韦德,13-14,胜,国王103-122热火,1,31,56.30%,9,16,66.70%,2,3,0.00%,0,1,5,1,4,5,3,0,2,1,20
36,德维恩-韦德,13-14,胜,步行者94-97热火,1,37,60.00%,15,25,0.00%,0,1,66.70%,2,3,3,1,2,1,3,0,2,1,32
37,德维恩-韦德,13-14,胜,爵士94-117热火,1,31,64.30%,9,14,,0,0,90.00%,9,10,5,1,4,2,0,1,3,3,27
38,德维恩-韦德,13-14,胜,骑士107-114热火,1,34,60.00%,9,15,,0,0,66.70%,6,9,6,3,3,3,1,0,1,3,24
39,德维恩-韦德,13-14,负,步行者90-84热火,1,35,42.90%,6,14,0.00%,0,1,83.30%,5,6,6,1,5,6,3,0,1,1,17
40,德维恩-韦德,13-14,胜,森林狼82-103热火,1,32,50.00%,7,14,,0,0,100.00%,5,5,5,0,5,4,1,1,5,4,19
41,德维恩-韦德,13-14,胜,山猫98-99热火,1,35,60.00%,6,10,0.00%,0,1,83.30%,5,6,3,0,3,4,1,2,5,4,17
42,德维恩-韦德,13-14,胜,猛龙83-90热火,1,34,56.30%,9,16,,0,0,80.00%,4,5,7,1,6,6,4,0,5,4,22
43,德维恩-韦德,13-14,胜,骑士84-95热火,1,36,71.40%,10,14,,0,0,100.00%,2,2,4,1,3,3,2,0,6,1,22
44,德维恩-韦德,13-14,胜,太阳92-107热火,1,33,69.20%,9,13,,0,0,100.00%,3,3,6,2,4,12,0,0,3,2,21
45,德维恩-韦德,13-14,胜,魔术99-101热火,1,34,56.30%,9,16,,0,0,90.00%,9,10,4,1,3,4,1,0,1,2,27
46,德维恩-韦德,13-14,胜,山猫81-97热火,1,23,14.30%,1,7,,0,0,50.00%,2,4,2,0,2,3,0,1,4,3,4
47,德维恩-韦德,13-14,胜,小牛104-110热火,1,36,50.00%,7,14,,0,0,42.90%,3,7,5,1,4,8,8,0,0,2,17
48,德维恩-韦德,13-14,胜,雄鹿95-118热火,1,31,57.10%,4,7,,0,0,,0,0,7,0,7,5,2,2,6,3,8
