id,球员,赛季,果,比赛,首发,时间,投篮,命中,出手,三分,命中,出手,罚球,命中,出手,篮板,前场,后场,助攻,抢断,盖帽,失误,犯规,得分
1,拉塞尔-威斯布鲁克,09-10,胜,灰熊105-114雷霆,1,25,30.00%,3,10,0.00%,0,1,100.00%,3,3,7,4,3,7,1,0,3,3,9
2,拉塞尔-威斯布鲁克,09-10,负,开拓者103-95雷霆,1,31,35.70%,5,14,0.00%,0,1,100.00%,1,1,7,2,5,0,0,0,5,3,11
3,拉塞尔-威斯布鲁克,09-10,负,勇士120-117雷霆,1,38,35.30%,6,17,0.00%,0,1,100.00%,8,8,5,4,1,9,3,0,6,3,20
4,拉塞尔-威斯布鲁克,09-10,胜,太阳91-96雷霆,1,42,25.00%,4,16,0.00%,0,1,,0,0,8,1,7,10,2,1,1,4,8
5,拉塞尔-威斯布鲁克,09-10,负,掘金98-94雷霆,1,37,52.60%,10,19,,0,0,50.00%,1,2,4,3,1,4,1,2,7,2,21
6,拉塞尔-威斯布鲁克,09-10,负,爵士140-139雷霆,1,38,46.70%,7,15,50.00%,1,2,92.30%,12,13,5,3,2,9,0,2,7,5,27
7,拉塞尔-威斯布鲁克,09-10,胜,森林狼108-116雷霆,1,32,36.40%,4,11,0.00%,0,1,100.00%,2,2,2,1,1,16,2,0,1,4,10
8,拉塞尔-威斯布鲁克,09-10,胜,小牛116-121雷霆,1,33,37.50%,6,16,,0,0,100.00%,5,5,3,2,1,6,0,0,3,3,17
9,拉塞尔-威斯布鲁克,09-10,胜,凯尔特104-109雷霆,1,33,52.90%,9,17,0.00%,0,1,100.00%,3,3,3,2,1,10,0,0,2,0,21
10,拉塞尔-威斯布鲁克,09-10,胜,76人93-111雷霆,1,27,25.00%,3,12,,0,0,100.00%,4,4,5,1,4,14,1,2,1,1,10
11,拉塞尔-威斯布鲁克,09-10,负,开拓者92-87雷霆,1,31,35.70%,5,14,0.00%,0,1,100.00%,2,2,3,3,0,6,2,0,3,4,12
12,拉塞尔-威斯布鲁克,09-10,胜,湖人75-91雷霆,1,28,76.90%,10,13,,0,0,60.00%,3,5,1,1,0,6,4,0,2,0,23
13,拉塞尔-威斯布鲁克,09-10,胜,火箭104-122雷霆,1,26,28.60%,2,7,0.00%,0,1,,0,0,5,3,2,8,0,1,5,2,4
14,拉塞尔-威斯布鲁克,09-10,负,马刺99-96雷霆,1,29,38.50%,5,13,0.00%,0,2,100.00%,2,2,4,1,3,4,0,1,1,4,12
15,拉塞尔-威斯布鲁克,09-10,负,步行者121-101雷霆,1,17,0.00%,0,4,,0,0,,0,0,1,1,0,5,0,0,2,2,0
16,拉塞尔-威斯布鲁克,09-10,胜,猛龙89-115雷霆,1,26,30.00%,3,10,0.00%,0,1,100.00%,5,5,3,1,2,10,2,0,2,1,11
17,拉塞尔-威斯布鲁克,09-10,负,山猫100-92雷霆,1,31,37.50%,6,16,0.00%,0,2,75.00%,3,4,1,0,1,10,1,0,5,5,15
18,拉塞尔-威斯布鲁克,09-10,胜,爵士111-119雷霆,1,40,75.00%,12,16,,0,0,54.50%,6,11,3,1,2,11,1,1,5,3,30
19,拉塞尔-威斯布鲁克,09-10,胜,篮网102-104雷霆,1,35,42.90%,3,7,,0,0,83.30%,5,6,4,0,4,10,0,1,9,4,11
20,拉塞尔-威斯布鲁克,09-10,胜,黄蜂83-98雷霆,1,32,53.80%,7,13,,0,0,75.00%,3,4,8,2,6,9,2,1,4,2,17
21,拉塞尔-威斯布鲁克,09-10,胜,国王102-108雷霆,1,32,44.40%,8,18,0.00%,0,1,83.30%,5,6,8,3,5,4,0,1,1,1,21
22,拉塞尔-威斯布鲁克,09-10,胜,快船87-104雷霆,1,36,45.50%,5,11,,0,0,71.40%,5,7,6,2,4,9,7,0,7,3,15
23,拉塞尔-威斯布鲁克,09-10,负,掘金119-90雷霆,1,25,27.30%,3,11,,0,0,83.30%,5,6,3,0,3,6,3,1,4,2,11
24,拉塞尔-威斯布鲁克,09-10,胜,国王107-113雷霆,1,42,52.60%,10,19,100.00%,1,1,81.80%,9,11,5,4,1,13,1,0,3,2,30
25,拉塞尔-威斯布鲁克,09-10,胜,猛龙99-119雷霆,1,31,40.00%,4,10,,0,0,85.70%,6,7,3,0,3,10,4,1,0,0,14
26,拉塞尔-威斯布鲁克,09-10,胜,森林狼92-109雷霆,1,33,63.60%,7,11,,0,0,66.70%,4,6,8,2,6,15,2,0,2,1,18
27,拉塞尔-威斯布鲁克,09-10,负,马刺95-87雷霆,1,39,28.60%,6,21,0.00%,0,3,55.60%,5,9,6,3,3,7,1,0,4,3,17
28,拉塞尔-威斯布鲁克,09-10,负,太阳104-102雷霆,1,39,50.00%,9,18,,0,0,75.00%,3,4,1,1,0,10,3,0,2,3,21
29,拉塞尔-威斯布鲁克,09-10,胜,森林狼107-109雷霆,1,38,47.40%,9,19,,0,0,100.00%,4,4,10,3,7,14,2,0,3,2,22
30,拉塞尔-威斯布鲁克,09-10,胜,尼克斯118-121雷霆,1,47,56.50%,13,23,,0,0,62.50%,5,8,9,3,6,10,0,0,4,4,31
31,拉塞尔-威斯布鲁克,09-10,胜,小牛86-99雷霆,1,35,54.50%,6,11,,0,0,62.50%,5,8,6,1,5,8,1,0,1,1,17
32,拉塞尔-威斯布鲁克,09-10,胜,开拓者77-89雷霆,1,32,22.20%,2,9,0.00%,0,1,100.00%,4,4,5,4,1,7,3,0,4,1,8
33,拉塞尔-威斯布鲁克,09-10,胜,勇士95-104雷霆,1,36,47.10%,8,17,,0,0,83.30%,5,6,7,2,5,10,8,0,2,1,21
34,拉塞尔-威斯布鲁克,09-10,胜,黄蜂99-103雷霆,1,35,61.10%,11,18,,0,0,66.70%,4,6,8,1,7,10,0,1,2,1,26
35,拉塞尔-威斯布鲁克,09-10,胜,老鹰99-106雷霆,1,36,31.30%,5,16,0.00%,0,1,100.00%,2,2,9,5,4,9,2,0,1,3,12
36,拉塞尔-威斯布鲁克,09-10,胜,勇士104-112雷霆,1,45,50.00%,7,14,,0,0,82.40%,14,17,5,1,4,8,2,0,4,4,28
37,拉塞尔-威斯布鲁克,09-10,胜,掘金84-101雷霆,1,32,45.50%,5,11,,0,0,50.00%,2,4,3,0,3,8,0,0,2,1,12
38,拉塞尔-威斯布鲁克,09-10,负,公牛96-86雷霆,1,31,45.50%,5,11,,0,0,0.00%,0,1,2,0,2,7,1,0,4,2,10
39,拉塞尔-威斯布鲁克,09-10,负,骑士100-99雷霆,1,35,44.40%,8,18,0.00%,0,1,77.80%,7,9,2,1,1,5,2,0,2,3,23
40,拉塞尔-威斯布鲁克,09-10,负,灰熊86-84雷霆,1,25,37.50%,3,8,,0,0,66.70%,2,3,7,2,5,3,0,0,5,2,8
41,拉塞尔-威斯布鲁克,09-10,胜,森林狼92-94雷霆,1,34,30.00%,3,10,,0,0,75.00%,3,4,3,0,3,9,0,0,7,2,9
42,拉塞尔-威斯布鲁克,09-10,胜,老鹰91-94雷霆,1,32,33.30%,3,9,,0,0,100.00%,2,2,4,3,1,9,1,0,3,2,8
43,拉塞尔-威斯布鲁克,09-10,胜,热火80-98雷霆,1,27,16.70%,1,6,,0,0,100.00%,4,4,1,0,1,11,1,0,7,1,6
